state_id,county_name,amount
AK,Aleutians East,4
AK,Aleutians West,1
AK,Anchorage,166
AK,Bethel,20
AK,Bristol Bay,4
AK,Denali,2
AK,Dillingham,4
AK,Fairbanks North Star,94
AK,Haines,4
AK,Hoonah-Angoon,7
AK,Juneau,24
AK,Kenai Peninsula,66
AK,Ketchikan Gateway,18
AK,Kodiak Island,11
AK,Kusilvak,5
AK,Lake and Peninsula,2
AK,Matanuska-Susitna,127
AK,Nome,13
AK,North Slope,3
AK,Northwest Arctic,10
AK,Petersburg Borough,8
AK,Prince of Wales-Hyder,13
AK,Sitka,8
AK,Skagway,1
AK,Southeast Fairbanks,14
AK,Valdez-Cordova,20
AK,Wrangell,7
AK,Yakutat,2
AK,Yukon-Koyukuk,5
AL,Autauga,19
AL,Baldwin,60
AL,Barbour,9
AL,Bibb,3
AL,Blount,15
AL,Bullock,3
AL,Butler,5
AL,Calhoun,49
AL,Chambers,13
AL,Cherokee,11
AL,Chilton,11
AL,Choctaw,6
AL,Clarke,15
AL,Clay,4
AL,Cleburne,6
AL,Coffee,19
AL,Colbert,14
AL,Conecuh,3
AL,Coosa,6
AL,Covington,23
AL,Crenshaw,10
AL,Cullman,24
AL,Dale,14
AL,Dallas,9
AL,DeKalb,27
AL,Elmore,30
AL,Escambia,16
AL,Etowah,23
AL,Fayette,4
AL,Franklin,12
AL,Geneva,9
AL,Greene,1
AL,Henry,7
AL,Houston,25
AL,Jackson,17
AL,Jefferson,106
AL,Lamar,3
AL,Lauderdale,25
AL,Lawrence,8
AL,Lee,23
AL,Limestone,33
AL,Lowndes,2
AL,Macon,4
AL,Madison,134
AL,Marengo,6
AL,Marion,20
AL,Marshall,34
AL,Mobile,80
AL,Monroe,7
AL,Montgomery,33
AL,Morgan,32
AL,Perry,4
AL,Pickens,4
AL,Pike,13
AL,Randolph,8
AL,Russell,17
AL,Shelby,52
AL,St. Clair,17
AL,Sumter,5
AL,Talladega,26
AL,Tallapoosa,11
AL,Tuscaloosa,26
AL,Walker,19
AL,Washington,7
AL,Wilcox,7
AL,Winston,6
AR,Arkansas,8
AR,Ashley,18
AR,Baxter,34
AR,Benton,2400
AR,Boone,32
AR,Bradley,5
AR,Carroll,24
AR,Chicot,5
AR,Clark,12
AR,Clay,14
AR,Cleburne,20
AR,Cleveland,7
AR,Columbia,17
AR,Conway,16
AR,Craighead,45
AR,Crawford,26
AR,Crittenden,13
AR,Cross,11
AR,Dallas,4
AR,Desha,6
AR,Drew,16
AR,Faulkner,42
AR,Franklin,14
AR,Fulton,10
AR,Garland,39
AR,Grant,14
AR,Greene,18
AR,Hempstead,13
AR,Hot Spring,20
AR,Howard,9
AR,Independence,29
AR,Izard,16
AR,Jackson,6
AR,Jefferson,18
AR,Johnson,17
AR,Lafayette,2
AR,Lawrence,13
AR,Lee,2
AR,Lincoln,4
AR,Little River,8
AR,Logan,9
AR,Lonoke,38
AR,Madison,14
AR,Marion,21
AR,Miller,26
AR,Mississippi,7
AR,Monroe,1
AR,Montgomery,5
AR,Nevada,3
AR,Newton,6
AR,Ouachita,17
AR,Perry,3
AR,Phillips,3
AR,Pike,12
AR,Poinsett,13
AR,Polk,19
AR,Pope,30
AR,Prairie,3
AR,Pulaski,92
AR,Randolph,18
AR,Saline,35
AR,Scott,7
AR,Searcy,1
AR,Sebastian,56
AR,Sevier,6
AR,Sharp,19
AR,St. Francis,6
AR,Stone,9
AR,Union,27
AR,Van Buren,11
AR,Washington,75
AR,White,54
AR,Woodruff,2
AR,Yell,12
AZ,Apache,21
AZ,Cochise,88
AZ,Coconino,66
AZ,Gila,45
AZ,Graham,25
AZ,Greenlee,6
AZ,La Paz,7
AZ,Maricopa,1008
AZ,Mohave,119
AZ,Navajo,40
AZ,Pima,245
AZ,Pinal,87
AZ,Santa Cruz,14
AZ,Yavapai,191
AZ,Yuma,35
CA,Alameda,28
CA,Amador,15
CA,Butte,49
CA,Calaveras,18
CA,Colusa,5
CA,Contra Costa,40
CA,Del Norte,3
CA,El Dorado,29
CA,Fresno,99
CA,Glenn,6
CA,Humboldt,33
CA,Imperial,3
CA,Inyo,6
CA,Kern,178
CA,Kings,15
CA,Lake,17
CA,Lassen,11
CA,Los Angeles,698
CA,Madera,16
CA,Marin,14
CA,Mariposa,6
CA,Mendocino,22
CA,Merced,24
CA,Modoc,4
CA,Mono,6
CA,Monterey,18
CA,Napa,29
CA,Nevada,24
CA,Orange,243
CA,Placer,61
CA,Plumas,9
CA,Riverside,186
CA,Sacramento,102
CA,San Benito,7
CA,San Bernardino,175
CA,San Diego,147
CA,San Francisco,4
CA,San Joaquin,47
CA,San Luis Obispo,51
CA,San Mateo,26
CA,Santa Barbara,53
CA,Santa Clara,77
CA,Santa Cruz,21
CA,Shasta,47
CA,Sierra,2
CA,Siskiyou,16
CA,Solano,40
CA,Sonoma,41
CA,Stanislaus,57
CA,Sutter,15
CA,Tehama,14
CA,Trinity,7
CA,Tulare,48
CA,Tuolumne,16
CA,Ventura,111
CA,Yolo,23
CA,Yuba,15
CO,Adams,169
CO,Alamosa,10
CO,Arapahoe,115
CO,Archuleta,10
CO,Baca,3
CO,Bent,2
CO,Boulder,81
CO,Broomfield,25
CO,Chaffee,13
CO,Cheyenne,6
CO,Clear Creek,4
CO,Conejos,11
CO,Costilla,4
CO,Crowley,3
CO,Custer,8
CO,Delta,33
CO,Denver,51
CO,Dolores,6
CO,Douglas,122
CO,Eagle,22
CO,El Paso,215
CO,Elbert,18
CO,Fremont,14
CO,Garfield,22
CO,Gilpin,4
CO,Grand,14
CO,Gunnison,13
CO,Hinsdale,4
CO,Huerfano,7
CO,Jackson,1
CO,Jefferson,137
CO,Kiowa,1
CO,Kit Carson,10
CO,La Plata,38
CO,Lake,1
CO,Larimer,106
CO,Las Animas,20
CO,Lincoln,8
CO,Logan,18
CO,Mesa,84
CO,Mineral,2
CO,Moffat,12
CO,Montezuma,28
CO,Montrose,35
CO,Morgan,20
CO,Otero,10
CO,Ouray,5
CO,Park,18
CO,Phillips,7
CO,Pitkin,5
CO,Prowers,9
CO,Pueblo,91
CO,Rio Blanco,11
CO,Rio Grande,10
CO,Routt,18
CO,Saguache,4
CO,San Juan,1
CO,San Miguel,1
CO,Sedgwick,1
CO,Summit,9
CO,Teller,25
CO,Washington,7
CO,Weld,117
CO,Yuma,14
CT,Fairfield,102
CT,Hartford,74
CT,Litchfield,50
CT,Middlesex,25
CT,New Haven,42
CT,New London,29
CT,Tolland,11
CT,Windham,6
DC,District of Columbia,7
DE,Kent,17
DE,New Castle,50
DE,Sussex,67
FL,Alachua,72
FL,Baker,8
FL,Bay,62
FL,Bradford,5
FL,Brevard,147
FL,Broward,216
FL,Calhoun,7
FL,Charlotte,25
FL,Citrus,53
FL,Clay,40
FL,Collier,51
FL,Columbia,18
FL,DeSoto,7
FL,Dixie,6
FL,Duval,139
FL,Escambia,63
FL,Flagler,17
FL,Franklin,3
FL,Gadsden,17
FL,Gilchrist,13
FL,Glades,1
FL,Gulf,9
FL,Hamilton,3
FL,Hardee,8
FL,Hendry,5
FL,Hernando,40
FL,Highlands,40
FL,Hillsborough,171
FL,Holmes,5
FL,Indian River,41
FL,Jackson,22
FL,Jefferson,5
FL,Lafayette,1
FL,Lake,80
FL,Lee,126
FL,Leon,65
FL,Levy,19
FL,Liberty,2
FL,Madison,3
FL,Manatee,58
FL,Marion,87
FL,Martin,42
FL,Miami-Dade,217
FL,Monroe,30
FL,Nassau,21
FL,Okaloosa,81
FL,Okeechobee,24
FL,Orange,169
FL,Osceola,39
FL,Palm Beach,175
FL,Pasco,93
FL,Pinellas,215
FL,Polk,106
FL,Putnam,15
FL,Santa Rosa,49
FL,Sarasota,97
FL,Seminole,73
FL,St. Johns,33
FL,St. Lucie,72
FL,Sumter,20
FL,Suwannee,18
FL,Taylor,12
FL,Volusia,101
FL,Wakulla,10
FL,Walton,7
FL,Washington,9
GA,Appling,13
GA,Atkinson,3
GA,Bacon,4
GA,Baldwin,11
GA,Banks,7
GA,Barrow,20
GA,Bartow,39
GA,Ben Hill,10
GA,Berrien,8
GA,Bibb,33
GA,Bleckley,9
GA,Brantley,5
GA,Brooks,6
GA,Bryan,14
GA,Bulloch,20
GA,Burke,2
GA,Butts,8
GA,Calhoun,1
GA,Camden,19
GA,Candler,8
GA,Carroll,37
GA,Catoosa,15
GA,Charlton,10
GA,Chatham,40
GA,Chattooga,9
GA,Cherokee,42
GA,Clarke,20
GA,Clay,1
GA,Clayton,15
GA,Clinch,3
GA,Cobb,110
GA,Coffee,14
GA,Colquitt,13
GA,Columbia,26
GA,Cook,4
GA,Coweta,35
GA,Crawford,3
GA,Crisp,3
GA,Dade,11
GA,Dawson,14
GA,DeKalb,26
GA,Decatur,9
GA,Dodge,6
GA,Dooly,4
GA,Dougherty,20
GA,Douglas,17
GA,Early,4
GA,Effingham,17
GA,Elbert,10
GA,Emanuel,10
GA,Evans,8
GA,Fannin,14
GA,Fayette,32
GA,Floyd,26
GA,Forsyth,31
GA,Franklin,5
GA,Fulton,78
GA,Gilmer,17
GA,Glynn,38
GA,Gordon,17
GA,Grady,10
GA,Greene,3
GA,Gwinnett,103
GA,Habersham,14
GA,Hall,35
GA,Hancock,1
GA,Haralson,13
GA,Harris,5
GA,Hart,15
GA,Heard,8
GA,Henry,12
GA,Houston,32
GA,Irwin,2
GA,Jackson,33
GA,Jasper,6
GA,Jeff Davis,8
GA,Jefferson,5
GA,Jenkins,2
GA,Johnson,3
GA,Jones,7
GA,Lamar,5
GA,Lanier,1
GA,Laurens,9
GA,Lee,10
GA,Liberty,14
GA,Lincoln,3
GA,Long,5
GA,Lowndes,17
GA,Lumpkin,15
GA,Macon,1
GA,Madison,20
GA,Marion,3
GA,McDuffie,7
GA,McIntosh,6
GA,Meriwether,14
GA,Miller,3
GA,Mitchell,7
GA,Monroe,10
GA,Montgomery,2
GA,Morgan,4
GA,Murray,13
GA,Muscogee,36
GA,Newton,19
GA,Oconee,16
GA,Oglethorpe,7
GA,Paulding,38
GA,Peach,6
GA,Pickens,14
GA,Pierce,10
GA,Pike,10
GA,Polk,11
GA,Pulaski,3
GA,Putnam,8
GA,Quitman,1
GA,Rabun,14
GA,Randolph,5
GA,Richmond,29
GA,Rockdale,16
GA,Schley,1
GA,Screven,4
GA,Seminole,6
GA,Spalding,11
GA,Stephens,18
GA,Stewart,7
GA,Sumter,11
GA,Talbot,2
GA,Tattnall,18
GA,Taylor,3
GA,Telfair,3
GA,Terrell,5
GA,Thomas,20
GA,Tift,16
GA,Toombs,16
GA,Towns,10
GA,Treutlen,4
GA,Troup,6
GA,Turner,2
GA,Union,13
GA,Upson,8
GA,Walker,18
GA,Walton,23
GA,Ware,19
GA,Warren,4
GA,Washington,8
GA,Wayne,17
GA,Webster,1
GA,Wheeler,1
GA,White,15
GA,Whitfield,22
GA,Wilcox,1
GA,Wilkes,4
GA,Wilkinson,2
GA,Worth,7
HI,Hawaii,13
HI,Honolulu,36
HI,Kauai,6
HI,Maui,9
IA,Adair,5
IA,Adams,6
IA,Allamakee,14
IA,Appanoose,12
IA,Audubon,2
IA,Benton,21
IA,Black Hawk,48
IA,Boone,19
IA,Bremer,14
IA,Buchanan,6
IA,Buena Vista,14
IA,Butler,14
IA,Calhoun,5
IA,Carroll,27
IA,Cass,9
IA,Cedar,9
IA,Cerro Gordo,21
IA,Cherokee,14
IA,Chickasaw,10
IA,Clarke,4
IA,Clay,18
IA,Clayton,12
IA,Clinton,8
IA,Crawford,5
IA,Dallas,26
IA,Davis,7
IA,Decatur,10
IA,Delaware,11
IA,Des Moines,25
IA,Dickinson,17
IA,Dubuque,49
IA,Emmet,7
IA,Fayette,9
IA,Floyd,10
IA,Franklin,3
IA,Fremont,10
IA,Greene,7
IA,Grundy,7
IA,Guthrie,9
IA,Hamilton,10
IA,Hancock,7
IA,Hardin,16
IA,Harrison,11
IA,Henry,13
IA,Howard,10
IA,Humboldt,13
IA,Ida,6
IA,Iowa,15
IA,Jackson,14
IA,Jasper,17
IA,Jefferson,7
IA,Johnson,29
IA,Jones,10
IA,Keokuk,15
IA,Kossuth,8
IA,Lee,25
IA,Linn,50
IA,Louisa,13
IA,Lucas,9
IA,Lyon,10
IA,Madison,10
IA,Mahaska,10
IA,Marion,13
IA,Marshall,17
IA,Mills,17
IA,Mitchell,5
IA,Monona,8
IA,Monroe,3
IA,Montgomery,6
IA,Muscatine,20
IA,O'Brien,13
IA,Osceola,8
IA,Page,13
IA,Palo Alto,8
IA,Plymouth,15
IA,Pocahontas,8
IA,Polk,83
IA,Pottawattamie,24
IA,Poweshiek,24
IA,Ringgold,2
IA,Sac,9
IA,Scott,47
IA,Shelby,10
IA,Sioux,12
IA,Story,28
IA,Tama,11
IA,Taylor,6
IA,Union,11
IA,Van Buren,14
IA,Wapello,16
IA,Warren,26
IA,Washington,12
IA,Wayne,5
IA,Webster,13
IA,Winnebago,7
IA,Winneshiek,19
IA,Woodbury,27
IA,Worth,5
IA,Wright,9
ID,Ada,170
ID,Adams,9
ID,Bannock,41
ID,Bear Lake,9
ID,Benewah,7
ID,Bingham,22
ID,Blaine,14
ID,Boise,7
ID,Bonner,42
ID,Bonneville,82
ID,Boundary,19
ID,Butte,5
ID,Camas,1
ID,Canyon,97
ID,Caribou,5
ID,Cassia,9
ID,Clark,4
ID,Clearwater,19
ID,Custer,9
ID,Elmore,17
ID,Franklin,13
ID,Fremont,19
ID,Gem,10
ID,Gooding,13
ID,Idaho,23
ID,Jefferson,25
ID,Jerome,6
ID,Kootenai,74
ID,Latah,15
ID,Lemhi,28
ID,Lewis,10
ID,Lincoln,4
ID,Madison,18
ID,Minidoka,7
ID,Nez Perce,54
ID,Oneida,1
ID,Owyhee,8
ID,Payette,11
ID,Power,6
ID,Shoshone,10
ID,Teton,13
ID,Twin Falls,51
ID,Valley,4
ID,Washington,14
IL,Adams,53
IL,Alexander,4
IL,Bond,14
IL,Boone,18
IL,Brown,3
IL,Bureau,31
IL,Calhoun,3
IL,Carroll,13
IL,Cass,11
IL,Champaign,43
IL,Christian,16
IL,Clark,16
IL,Clay,9
IL,Clinton,17
IL,Coles,159
IL,Cook,83
IL,Crawford,14
IL,Cumberland,9
IL,De Witt,8
IL,DeKalb,12
IL,Douglas,13
IL,DuPage,91
IL,Edgar,11
IL,Edwards,7
IL,Effingham,19
IL,Fayette,13
IL,Ford,8
IL,Franklin,24
IL,Fulton,18
IL,Gallatin,2
IL,Greene,10
IL,Grundy,28
IL,Hamilton,2
IL,Hancock,21
IL,Hardin,2
IL,Henderson,3
IL,Henry,40
IL,Iroquois,45
IL,Jackson,30
IL,Jasper,8
IL,Jefferson,20
IL,Jersey,4
IL,Jo Daviess,8
IL,Johnson,13
IL,Kane,64
IL,Kankakee,37
IL,Kendall,27
IL,Knox,13
IL,LaSalle,51
IL,Lake,77
IL,Lawrence,5
IL,Lee,15
IL,Livingston,14
IL,Logan,8
IL,Macon,27
IL,Macoupin,20
IL,Madison,81
IL,Marion,22
IL,Marshall,3
IL,Mason,12
IL,Massac,13
IL,McDonough,12
IL,McHenry,53
IL,McLean,58
IL,Menard,9
IL,Mercer,7
IL,Monroe,17
IL,Montgomery,23
IL,Morgan,21
IL,Moultrie,5
IL,Ogle,20
IL,Peoria,32
IL,Perry,19
IL,Piatt,11
IL,Pike,12
IL,Pope,5
IL,Pulaski,6
IL,Putnam,8
IL,Randolph,28
IL,Richland,11
IL,Rock Island,39
IL,Saline,11
IL,Sangamon,79
IL,Schuyler,5
IL,Shelby,21
IL,St. Clair,50
IL,Stark,5
IL,Stephenson,21
IL,Tazewell,43
IL,Union,20
IL,Vermilion,27
IL,Wabash,5
IL,Warren,8
IL,Washington,11
IL,Wayne,12
IL,White,7
IL,Whiteside,18
IL,Will,77
IL,Williamson,41
IL,Winnebago,40
IL,Woodford,25
IN,Adams,15
IN,Allen,46
IN,Bartholomew,17
IN,Benton,3
IN,Blackford,2
IN,Boone,23
IN,Brown,4
IN,Carroll,2
IN,Cass,14
IN,Clark,28
IN,Clay,16
IN,Clinton,10
IN,Crawford,7
IN,Daviess,20
IN,DeKalb,25
IN,Dearborn,31
IN,Decatur,13
IN,Delaware,10
IN,Dubois,14
IN,Elkhart,42
IN,Fayette,5
IN,Floyd,16
IN,Fountain,15
IN,Franklin,12
IN,Fulton,12
IN,Gibson,20
IN,Grant,17
IN,Greene,24
IN,Hamilton,39
IN,Hancock,16
IN,Harrison,18
IN,Hendricks,40
IN,Henry,13
IN,Howard,16
IN,Huntington,12
IN,Jackson,22
IN,Jasper,11
IN,Jay,5
IN,Jefferson,11
IN,Jennings,13
IN,Johnson,28
IN,Knox,16
IN,Kosciusko,27
IN,LaGrange,11
IN,LaPorte,14
IN,Lake,47
IN,Lawrence,25
IN,Madison,21
IN,Marion,66
IN,Marshall,12
IN,Martin,4
IN,Miami,14
IN,Monroe,19
IN,Montgomery,17
IN,Morgan,23
IN,Newton,5
IN,Noble,18
IN,Ohio,3
IN,Orange,8
IN,Owen,10
IN,Parke,10
IN,Perry,6
IN,Pike,6
IN,Porter,23
IN,Posey,9
IN,Pulaski,3
IN,Putnam,12
IN,Randolph,11
IN,Ripley,19
IN,Rush,7
IN,Scott,7
IN,Shelby,9
IN,Spencer,4
IN,St. Joseph,39
IN,Starke,6
IN,Steuben,13
IN,Sullivan,15
IN,Switzerland,2
IN,Tippecanoe,26
IN,Tipton,8
IN,Union,9
IN,Vanderburgh,27
IN,Vermillion,13
IN,Vigo,34
IN,Wabash,13
IN,Warren,3
IN,Warrick,26
IN,Washington,10
IN,Wayne,17
IN,Wells,4
IN,White,12
IN,Whitley,12
KS,Allen,9
KS,Anderson,4
KS,Atchison,8
KS,Barber,6
KS,Barton,15
KS,Bourbon,8
KS,Brown,8
KS,Butler,35
KS,Chase,4
KS,Chautauqua,4
KS,Cherokee,8
KS,Cheyenne,1
KS,Clark,1
KS,Clay,7
KS,Cloud,5
KS,Coffey,11
KS,Comanche,2
KS,Cowley,17
KS,Crawford,14
KS,Decatur,5
KS,Dickinson,16
KS,Doniphan,7
KS,Douglas,25
KS,Edwards,9
KS,Elk,4
KS,Ellis,22
KS,Ellsworth,6
KS,Finney,12
KS,Ford,17
KS,Franklin,11
KS,Geary,13
KS,Gove,6
KS,Graham,6
KS,Grant,8
KS,Gray,3
KS,Greeley,3
KS,Greenwood,6
KS,Hamilton,4
KS,Harper,7
KS,Harvey,23
KS,Haskell,4
KS,Hodgeman,4
KS,Jackson,8
KS,Jefferson,21
KS,Jewell,5
KS,Johnson,140
KS,Kearny,3
KS,Kingman,8
KS,Kiowa,4
KS,Labette,11
KS,Lane,8
KS,Leavenworth,22
KS,Lincoln,1
KS,Linn,13
KS,Logan,6
KS,Lyon,12
KS,Marion,6
KS,Marshall,11
KS,McPherson,1
KS,Meade,7
KS,Miami,23
KS,Mitchell,7
KS,Montgomery,19
KS,Morris,7
KS,Morton,5
KS,Nemaha,10
KS,Neosho,8
KS,Ness,4
KS,Norton,9
KS,Osage,16
KS,Osborne,7
KS,Ottawa,4
KS,Pawnee,4
KS,Phillips,5
KS,Pottawatomie,18
KS,Pratt,13
KS,Rawlins,2
KS,Reno,31
KS,Republic,5
KS,Rice,10
KS,Riley,14
KS,Rooks,4
KS,Rush,4
KS,Russell,10
KS,Saline,26
KS,Scott,5
KS,Sedgwick,123
KS,Seward,8
KS,Shawnee,56
KS,Sheridan,6
KS,Sherman,5
KS,Smith,5
KS,Stafford,2
KS,Stanton,1
KS,Stevens,5
KS,Sumner,19
KS,Thomas,6
KS,Wabaunsee,5
KS,Wallace,3
KS,Washington,6
KS,Wichita,3
KS,Wilson,11
KS,Wyandotte,25
KY,Adair,12
KY,Allen,15
KY,Anderson,10
KY,Ballard,6
KY,Barren,25
KY,Bath,4
KY,Bell,15
KY,Boone,46
KY,Bourbon,10
KY,Boyd,25
KY,Boyle,18
KY,Bracken,3
KY,Breathitt,4
KY,Breckinridge,5
KY,Bullitt,18
KY,Butler,13
KY,Caldwell,9
KY,Calloway,24
KY,Campbell,16
KY,Carlisle,2
KY,Carroll,9
KY,Carter,11
KY,Casey,3
KY,Christian,24
KY,Clark,14
KY,Clay,9
KY,Clinton,4
KY,Crittenden,6
KY,Cumberland,3
KY,Daviess,31
KY,Edmonson,4
KY,Elliott,4
KY,Estill,8
KY,Fayette,48
KY,Fleming,6
KY,Floyd,16
KY,Franklin,16
KY,Fulton,4
KY,Gallatin,4
KY,Garrard,8
KY,Grant,13
KY,Graves,21
KY,Grayson,21
KY,Green,9
KY,Greenup,21
KY,Hancock,8
KY,Hardin,34
KY,Harlan,12
KY,Harrison,12
KY,Hart,10
KY,Henderson,13
KY,Henry,8
KY,Hickman,4
KY,Hopkins,14
KY,Jackson,2
KY,Jefferson,105
KY,Jessamine,19
KY,Johnson,11
KY,Kenton,34
KY,Knott,1
KY,Knox,7
KY,Larue,6
KY,Laurel,27
KY,Lawrence,6
KY,Lee,4
KY,Leslie,2
KY,Letcher,8
KY,Lewis,4
KY,Lincoln,10
