county,population
Alabama,4842481
Autauga County,54876
Baldwin County,199189
Barbour County,26758
Bibb County,22541
Blount County,57521
Bullock County,10665
Butler County,20343
Calhoun County,115995
Chambers County,33980
Cherokee County,25902
Chilton County,43769
Choctaw County,13317
Clarke County,24865
Clay County,13440
Cleburne County,15025
Coffee County,50655
Colbert County,54468
Conecuh County,12679
Coosa County,11038
Covington County,37756
Crenshaw County,13859
Cullman County,81067
Dale County,49417
Dallas County,41562
DeKalb County,70999
Elmore County,80568
Escambia County,37738
Etowah County,103407
Fayette County,16768
Franklin County,31561
Geneva County,26597
Greene County,8585
Hale County,15047
Henry County,17082
Houston County,104156
Jackson County,52562
Jefferson County,659918
Lamar County,14067
Lauderdale County,93013
Lawrence County,33448
Lee County,154545
Limestone County,90596
Lowndes County,10498
Macon County,19648
Madison County,349807
Marengo County,19980
Marion County,30202
Marshall County,94277
Mobile County,414590
Monroe County,21927
Montgomery County,227546
Morgan County,119458
Perry County,9804
Pickens County,20283
Pike County,33197
Randolph County,22355
Russell County,59211
St. Clair County,85995
Shelby County,206356
Sumter County,13275
Talladega County,81450
Tallapoosa County,40887
Tuscaloosa County,203097
Walker County,65336
Washington County,16868
Wilcox County,10953
Winston County,24137
Alaska,736307
Aleutians East Borough,3348
Aleutians West Census Area,5822
Anchorage Municipality,299927
Bethel Census Area,17933
Bristol Bay Borough,949
Denali Borough,1915
Dillingham Census Area,4983
Fairbanks North Star Borough,99256
Haines Borough,2555
Hoonah-Angoon Census Area,2103
Juneau City and Borough,32476
Kenai Peninsula Borough,57565
Ketchikan Gateway Borough,13801
Kodiak Island Borough,13904
Kusilvak Census Area,8098
Lake and Peninsula Borough,1645
Matanuska-Susitna Borough,98104
Nome Census Area,9803
North Slope Borough,9769
Northwest Arctic Borough,7771
Petersburg Borough,3265
Prince of Wales-Hyder Census Area,6460
Sitka City and Borough,8839
Skagway Municipality,1053
Southeast Fairbanks Census Area,6922
Valdez-Cordova Census Area,9475
Wrangell City and Borough,2447
Yakutat City and Borough,655
Yukon-Koyukuk Census Area,5464
Arizona,6733840
Apache County,71820
Cochise County,127352
Coconino County,137583
Gila County,53070
Graham County,38124
Greenlee County,9341
La Paz County,20529
Maricopa County,4095508
Mohave County,203474
Navajo County,107724
Pima County,1004675
Pinal County,395915
Santa Cruz County,46703
Yavapai County,217739
Yuma County,204283
Arkansas,2967726
Arkansas County,18476
Ashley County,20959
Baxter County,40884
Benton County,244882
Boone County,37102
Bradley County,11016
Calhoun County,5168
Carroll County,27735
Chicot County,11202
Clark County,22565
Clay County,15297
Cleburne County,25605
Cleveland County,8398
Columbia County,24046
Conway County,20991
Craighead County,102661
Crawford County,61817
Crittenden County,49577
Cross County,17183
Dallas County,7692
Desha County,12270
Drew County,18640
Faulkner County,120567
Franklin County,17820
Fulton County,12083
Garland County,97754
Grant County,18073
Greene County,43787
Hempstead County,22338
Hot Spring County,33400
Howard County,13510
Independence County,37079
Izard County,13553
Jackson County,17595
Jefferson County,72469
Johnson County,25971
Lafayette County,7164
Lawrence County,16971
Lee County,9843
Lincoln County,14030
Little River County,12524
Logan County,21859
Lonoke County,71338
Madison County,15733
Marion County,16420
Miller County,43566
Mississippi County,44250
Monroe County,7635
Montgomery County,9158
Nevada County,8651
Newton County,7879
Ouachita County,24763
Perry County,10353
Phillips County,19960
Pike County,10987
Poinsett County,24152
Polk County,20255
Pope County,63111
Prairie County,8345
Pulaski County,392990
Randolph County,17568
St. Francis County,27096
Saline County,114861
Scott County,10665
Searcy County,7917
Sebastian County,126784
Sevier County,17429
Sharp County,16822
Stone County,12379
Union County,40140
Van Buren County,16880
Washington County,219976
White County,78459
Woodruff County,6874
Yell County,21774
California,38625139
Alameda County,1608674
Alpine County,1082
Amador County,36738
Butte County,223570
Calaveras County,44673
Colusa County,21198
Contra Costa County,1109358
Del Norte County,27198
El Dorado County,183161
Fresno County,961311
Glenn County,27857
Humboldt County,134514
Imperial County,178233
Inyo County,18320
Kern County,869957
Kings County,149603
Lake County,64058
Lassen County,31710
Los Angeles County,10048408
Madera County,153590
Marin County,260435
Mariposa County,17713
Mendocino County,87257
Merced County,264649
Modoc County,9080
Mono County,14142
Monterey County,428980
Napa County,140567
Nevada County,98589
Orange County,3130322
Placer County,369326
Plumas County,18662
Riverside County,2317955
Sacramento County,1475618
San Benito County,57867
San Bernardino County,2100776
San Diego County,3250993
San Francisco County,851116
San Joaquin County,711771
San Luis Obispo County,278296
San Mateo County,757670
Santa Barbara County,439358
Santa Clara County,1892984
Santa Cruz County,271035
Shasta County,178905
Sierra County,2980
Siskiyou County,43379
Solano County,429155
Sonoma County,498803
Stanislaus County,528346
Sutter County,94830
Tehama County,62788
Trinity County,13123
Tulare County,455602
Tuolumne County,53828
Ventura County,842946
Yolo County,208518
Yuba County,73562
Colorado,5351218
Adams County,480263
Alamosa County,16220
Arapahoe County,618798
Archuleta County,12233
Baca County,3587
Bent County,5784
Boulder County,313298
Broomfield County,61769
Chaffee County,18453
Cheyenne County,1846
Clear Creek County,9114
Conejos County,8233
Costilla County,3564
Crowley County,5609
Custer County,4344
Delta County,29965
Denver County,664870
Dolores County,1977
Douglas County,314574
Eagle County,53323
Elbert County,24033
El Paso County,663266
Fremont County,46133
Garfield County,57201
Gilpin County,5751
Grand County,14559
Gunnison County,15842
Hinsdale County,773
Huerfano County,6396
Jackson County,1385
Jefferson County,559085
Kiowa County,1380
Kit Carson County,8020
Lake County,7320
La Plata County,53788
Larimer County,324061
Las Animas County,14044
Lincoln County,5504
Logan County,21748
Mesa County,147312
Mineral County,703
Moffat County,12934
Montezuma County,25516
Montrose County,40596
Morgan County,28120
Otero County,18367
Ouray County,4574
Park County,16384
Phillips County,4395
Pitkin County,17726
Prowers County,12089
Pueblo County,161480
Rio Blanco County,6625
Rio Grande County,11508
Routt County,24083
Saguache County,6198
San Juan County,711
San Miguel County,7740
Sedgwick County,2333
Summit County,29330
Teller County,23430
Washington County,4732
Weld County,276037
Yuma County,10182
Connecticut,3594783
Fairfield County,944355
Hartford County,897493
Litchfield County,185398
Middlesex County,164597
New Haven County,862996
New London County,271465
Tolland County,151710
Windham County,116769
Delaware,932596
Kent County,171458
New Castle County,550851
Sussex County,210287
District of Columbia,662513
District of Columbia,662513
Florida,19860330
Alachua County,255499
Baker County,27118
Bay County,178305
Bradford County,26553
Brevard County,555598
Broward County,1861602
Calhoun County,14451
Charlotte County,168075
Citrus County,138833
Clay County,198572
Collier County,347326
Columbia County,67784
DeSoto County,35344
Dixie County,16038
Duval County,896743
Escambia County,307951
Flagler County,101922
Franklin County,11658
Gadsden County,46119
Gilchrist County,16987
Glades County,12952
Gulf County,16000
Hamilton County,14070
Hardee County,27281
Hendry County,38508
Hernando County,175322
Highlands County,98606
Hillsborough County,1317571
Holmes County,19566
Indian River County,144469
Jackson County,48733
Jefferson County,14052
Lafayette County,8869
Lake County,315388
Lee County,677361
Leon County,283785
Levy County,39302
Liberty County,8414
Madison County,18602
Manatee County,350972
Marion County,338057
Martin County,153153
Miami-Dade County,2660389
Monroe County,76284
Nassau County,76253
Okaloosa County,194633
Okeechobee County,39581
Orange County,1256908
Osceola County,311137
Palm Beach County,1399039
Pasco County,483465
Pinellas County,936517
Polk County,634520
Putnam County,71968
St. Johns County,217865
St. Lucie County,290146
Santa Rosa County,162669
Sarasota County,396445
Seminole County,441453
Sumter County,112245
Suwannee County,43784
Taylor County,22579
Union County,15260
Volusia County,506786
Wakulla County,31410
Walton County,61183
Washington County,24300
Georgia,10069001
Appling County,18476
Atkinson County,8218
Bacon County,11175
Baker County,3292
Baldwin County,45914
Banks County,18223
Barrow County,72853
Bartow County,101291
Ben Hill County,17430
Berrien County,18815
Bibb County,154333
Bleckley County,12703
Brantley County,18349
Brooks County,15533
Bryan County,33667
Bulloch County,72671
Burke County,22610
Butts County,23314
Calhoun County,6505
Camden County,51918
Candler County,10859
Carroll County,113942
Catoosa County,65477
Charlton County,13052
Chatham County,282197
Chattahoochee County,11709
Chattooga County,24857
Cherokee County,230208
Clarke County,120413
Clay County,3072
Clayton County,266678
Clinch County,6785
Cobb County,727757
Coffee County,42899
Colquitt County,45893
Columbia County,139151
Cook County,17298
Coweta County,135140
Crawford County,12431
Crisp County,23063
Dade County,16282
Dawson County,22978
Decatur County,27178
DeKalb County,725039
Dodge County,21174
Dooly County,14247
Dougherty County,92720
Douglas County,138055
Early County,10447
Echols County,4037
Effingham County,55419
Elbert County,19389
Emanuel County,22486
Evans County,10814
Fannin County,23856
Fayette County,109217
Floyd County,95890
Forsyth County,202659
Franklin County,22176
Fulton County,992022
Gilmer County,28979
Glascock County,3004
Glynn County,82177
Gordon County,55815
Grady County,25214
Greene County,16424
Gwinnett County,871394
Habersham County,43583
Hall County,189239
Hancock County,8574
Haralson County,28487
Harris County,32742
Hart County,25372
Heard County,11619
Henry County,213047
Houston County,148701
Irwin County,9092
Jackson County,62103
Jasper County,13538
Jeff Davis County,14937
Jefferson County,16130
Jenkins County,9043
Johnson County,9807
Jones County,28650
Lamar County,18187
Lanier County,10365
Laurens County,47599
Lee County,29132
Liberty County,64107
Lincoln County,7644
Long County,17014
Lowndes County,113510
Lumpkin County,31147
McDuffie County,21525
McIntosh County,14065
Macon County,13822
Madison County,28355
Marion County,8633
Meriwether County,21213
Miller County,5943
Mitchell County,22714
Monroe County,26681
Montgomery County,8983
Morgan County,17894
Murray County,39232
Muscogee County,200552
Newton County,103470
Oconee County,35072
Oglethorpe County,14538
Paulding County,148538
Peach County,27024
Pickens County,29834
Pierce County,19008
Pike County,17763
Polk County,40866
Pulaski County,11511
Putnam County,21154
Quitman County,2289
Rabun County,16165
Randolph County,7311
Richmond County,201166
Rockdale County,87193
Schley County,5187
Screven County,13999
Seminole County,8599
Spalding County,63694
Stephens County,25424
Stewart County,5886
Sumter County,31169
Talbot County,6520
Taliaferro County,1694
Tattnall County,25337
Taylor County,8379
Telfair County,16459
Terrell County,9083
Thomas County,44759
Tift County,40454
Toombs County,27146
Towns County,11082
Treutlen County,6811
Troup County,69282
Turner County,8063
Twiggs County,8387
Union County,21758
Upson County,26173
Walker County,68678
Walton County,87521
Ware County,35525
Warren County,5462
Washington County,20550
Wayne County,29893
Webster County,2612
Wheeler County,7970
White County,28019
Whitfield County,103137
Wilcox County,8891
Wilkes County,9946
Wilkinson County,9285
Worth County,21021
Hawaii,1414862
Hawaii County,193736
Honolulu County,987649
Kalawao County,89
Kauai County,70324
Maui County,163064
Idaho,1631479
Ada County,425540
Adams County,3882
Bannock County,83534
Bear Lake County,5926
Benewah County,9032
Bingham County,45229
Blaine County,21465
Boise County,6780
Bonner County,41289
Bonneville County,108264
Boundary County,10955
Butte County,2658
Camas County,1055
Canyon County,202514
Caribou County,6832
Cassia County,23518
Clark County,890
Clearwater County,8576
Custer County,4131
Elmore County,26226
Franklin County,12910
Fremont County,12813
Gem County,16646
Gooding County,15100
Idaho County,16272
Jefferson County,26938
Jerome County,22952
Kootenai County,146536
Latah County,38513
Lemhi County,7723
Lewis County,3813
Lincoln County,5330
Madison County,37906
Minidoka County,20348
Nez Perce County,39835
Oneida County,4176
Owyhee County,11297
Payette County,22753
Power County,7737
Shoshone County,12394
Teton County,10443
Twin Falls County,80996
Valley County,9794
Washington County,9958
Illinois,12888962
Adams County,66973
Alexander County,7082
Bond County,17071
Boone County,53740
Brown County,6833
Bureau County,33861
Calhoun County,4925
Carroll County,14783
Cass County,13091
Champaign County,207959
Christian County,33810
Clark County,16046
Clay County,13446
Clinton County,37644
Coles County,52522
Cook County,5257481
Crawford County,19285
Cumberland County,10924
DeKalb County,104570
De Witt County,16216
Douglas County,19903
DuPage County,933820
Edgar County,17805
Edwards County,6628
Effingham County,34119
Fayette County,22072
Ford County,13539
Franklin County,39445
Fulton County,35990
Gallatin County,5280
Greene County,13415
Grundy County,50290
Hamilton County,8314
Hancock County,18324
Hardin County,4148
Henderson County,7011
Henry County,49830
Iroquois County,28719
Jackson County,59359
Jasper County,9633
Jefferson County,38377
Jersey County,22467
Jo Daviess County,22338
Johnson County,12890
Kane County,526028
Kankakee County,111907
Kendall County,121413
Knox County,51944
Lake County,704618
LaSalle County,111669
Lawrence County,16558
Lee County,34904
Livingston County,37040
Logan County,29656
McDonough County,31792
McHenry County,307414
McLean County,174121
Macon County,108520
Macoupin County,46204
Madison County,266618
Marion County,38558
Marshall County,11959
Mason County,14102
Massac County,14753
Menard County,12505
Mercer County,15900
Monroe County,33542
Montgomery County,29448
Morgan County,34672
Moultrie County,14750
Ogle County,51949
Peoria County,187531
Perry County,21540
Piatt County,16408
Pike County,15955
Pope County,4371
Pulaski County,5794
Putnam County,5832
Randolph County,33142
Richland County,16018
Rock Island County,147090
St. Clair County,265922
Saline County,24492
Sangamon County,199180
Schuyler County,7260
Scott County,5170
Shelby County,22106
Stark County,5602
Stephenson County,46267
Tazewell County,135363
Union County,17407
Vermilion County,79786
Wabash County,11600
Warren County,17719
Washington County,14391
Wayne County,16593
White County,14267
Whiteside County,57019
Will County,685369
Williamson County,67410
Winnebago County,288775
Woodford County,39061
Indiana,6593533
Adams County,34768
Allen County,365199
Bartholomew County,80499
Benton County,8718
Blackford County,12346
Boone County,61625
Brown County,14944
Carroll County,19949
Cass County,38495
Clark County,114047
Clay County,26424
Clinton County,32471
Crawford County,10670
Daviess County,32681
Dearborn County,49420
Decatur County,26414
DeKalb County,42398
Delaware County,116476
Dubois County,42297
Elkhart County,201476
Fayette County,23444
Floyd County,76097
Fountain County,16690
Franklin County,22981
Fulton County,20514
Gibson County,33723
Grant County,68336
Greene County,32644
Hamilton County,302839
Hancock County,71738
Harrison County,39167
Hendricks County,155812
Henry County,48889
Howard County,82602
Huntington County,36610
Jackson County,43703
Jasper County,33514
Jay County,21134
Jefferson County,32403
Jennings County,27915
Johnson County,147103
Knox County,37961
Kosciusko County,78382
LaGrange County,38435
Lake County,490973
LaPorte County,111737
Lawrence County,45648
Madison County,129744
Marion County,935449
Marshall County,46929
Martin County,10238
Miami County,36071
Monroe County,143410
Montgomery County,38144
Morgan County,69515
Newton County,14086
Noble County,47380
Ohio County,5966
Orange County,19761
Owen County,21023
Parke County,17241
Perry County,19332
Pike County,12500
Porter County,167182
Posey County,25596
Pulaski County,12918
Putnam County,37673
Randolph County,25329
Ripley County,28341
Rush County,16845
St. Joseph County,267749
Scott County,23629
Shelby County,44374
Spencer County,20758
Starke County,22953
Steuben County,34517
Sullivan County,20993
Switzerland County,10543
Tippecanoe County,184466
Tipton County,15406
Union County,7241
Vanderburgh County,181935
Vermillion County,15658
Vigo County,107960
Wabash County,32101
Warren County,8339
Warrick County,60959
Washington County,27892
Wayne County,67377
Wells County,27816
White County,24436
Whitley County,33447
Iowa,3109504
Adair County,7367
Adams County,3877
Allamakee County,14058
Appanoose County,12671
Audubon County,5771
Benton County,25622
Black Hawk County,133403
Boone County,26296
Bremer County,24665
Buchanan County,21139
Buena Vista County,20622
Butler County,14963
Calhoun County,9845
Carroll County,20498
Cass County,13392
Cedar County,18328
Cerro Gordo County,43206
Cherokee County,11802
Chickasaw County,12250
Clarke County,9195
Clay County,16485
Clayton County,17771
Clinton County,47894
Crawford County,17172
Dallas County,77742
Davis County,8755
Decatur County,8208
Delaware County,17392
Des Moines County,40092
Dickinson County,16840
Dubuque County,96483
Emmet County,9819
Fayette County,20289
Floyd County,16001
Franklin County,10434
Fremont County,7030
Greene County,9123
Grundy County,12391
Guthrie County,10685
Hamilton County,15215
Hancock County,11041
Hardin County,17331
Harrison County,14266
Henry County,19832
Howard County,9351
Humboldt County,9635
Ida County,6970
Iowa County,16314
Jackson County,19427
Jasper County,36882
Jefferson County,17792
Johnson County,142745
Jones County,20542
Keokuk County,10285
Kossuth County,15227
Lee County,35056
Linn County,218125
Louisa County,11254
Lucas County,8633
Lyon County,11703
Madison County,15615
Mahaska County,22365
Marion County,33270
Marshall County,40735
Mills County,14761
Mitchell County,10698
Monona County,8899
Monroe County,7958
Montgomery County,10382
Muscatine County,42982
O'Brien County,14043
Osceola County,6231
Page County,15483
Palo Alto County,9121
Plymouth County,24912
Pocahontas County,7097
Polk County,460977
Pottawattamie County,93274
Poweshiek County,18606
Ringgold County,4961
Sac County,10046
Scott County,171317
Shelby County,11878
Sioux County,34641
Story County,95797
Tama County,17311
Taylor County,6172
Union County,12624
Van Buren County,7391
Wapello County,35430
Warren County,47828
Washington County,22032
Wayne County,6376
Webster County,37070
Winnebago County,10554
Winneshiek County,20694
Woodbury County,102309
Worth County,7557
Wright County,12905
Kansas,2900896
Allen County,12890
Anderson County,7881
Atchison County,16524
Barber County,4882
Barton County,27345
Bourbon County,14798
Brown County,9781
Butler County,65867
Chase County,2653
Chautauqua County,3455
Cherokee County,20766
Cheyenne County,2686
Clark County,2114
Clay County,8302
Cloud County,9332
Coffey County,8395
Comanche County,1950
Cowley County,35889
Crawford County,39263
Decatur County,2897
Dickinson County,19303
Doniphan County,7839
Douglas County,116448
Edwards County,3025
Elk County,2695
Ellis County,28963
Ellsworth County,6349
Finney County,37148
Ford County,34958
Franklin County,25528
Geary County,36451
Gove County,2748
Graham County,2557
Grant County,7799
Gray County,6061
Greeley County,1301
Greenwood County,6288
Hamilton County,2659
Harper County,5827
Harvey County,34603
Haskell County,4099
Hodgeman County,1883
Jackson County,13437
Jefferson County,18822
Jewell County,3043
Johnson County,573043
Kearny County,3939
Kingman County,7683
Kiowa County,2532
Labette County,20774
Lane County,1666
Leavenworth County,78537
Lincoln County,3183
Linn County,9537
Logan County,2768
Lyon County,33154
McPherson County,28893
Marion County,12185
Marshall County,9943
Meade County,4358
Miami County,32868
Mitchell County,6246
Montgomery County,34095
Morris County,5664
Morton County,3040
Nemaha County,10087
Neosho County,16323
Ness County,3089
Norton County,5534
Osage County,15969
Osborne County,3752
Ottawa County,6029
Pawnee County,6822
Phillips County,5496
Pottawatomie County,22738
Pratt County,9767
Rawlins County,2543
Reno County,63699
Republic County,4741
Rice County,9968
Riley County,76485
Rooks County,5204
Rush County,3162
Russell County,7004
Saline County,55524
Scott County,4969
Sedgwick County,509072
Seward County,23335
Shawnee County,178586
Sheridan County,2502
Sherman County,6067
Smith County,3729
Stafford County,4282
Stanton County,2139
Stevens County,5842
Sumner County,23379
Thomas County,7836
Trego County,2895
Wabaunsee County,6938
Wallace County,1501
Washington County,5610
Wichita County,2185
Wilson County,8973
Woodson County,3188
Wyandotte County,162320
Kentucky,4414483
Adair County,19265
Allen County,20510
Anderson County,21853
Ballard County,8189
Barren County,43048
Bath County,12131
Bell County,27847
Boone County,126330
Bourbon County,20074
Boyd County,48840
Boyle County,29810
Bracken County,8357
Breathitt County,13371
Breckinridge County,19887
Bullitt County,78052
Butler County,12736
Caldwell County,12852
Calloway County,38465
Campbell County,91637
Carlisle County,4963
Carroll County,10755
Carter County,27521
Casey County,15783
Christian County,73379
Clark County,35631
Clay County,21094
Clinton County,10213
Crittenden County,9176
Cumberland County,6727
Daviess County,98485
Edmonson County,12010
Elliott County,7533
Estill County,14445
Fayette County,311955
Fleming County,14478
Floyd County,38010
Franklin County,49750
Fulton County,6267
Gallatin County,8626
Garrard County,16981
Grant County,24814
Graves County,37575
Grayson County,26075
Green County,11038
Greenup County,36280
Hancock County,8685
Hardin County,108531
Harlan County,28018
Harrison County,18630
Hart County,18511
Henderson County,46407
Henry County,15556
Hickman County,4678
Hopkins County,46177
