county,population
Lucas County,434597
Madison County,43982
Mahoning County,233389
Marion County,65789
Medina County,175847
Meigs County,23278
Mercer County,40730
Miami County,103843
Monroe County,14358
Montgomery County,532469
Morgan County,14740
Morrow County,34941
Muskingum County,85900
Noble County,14532
Ottawa County,40904
Paulding County,18974
Perry County,35927
Pickaway County,56702
Pike County,28309
Portage County,162459
Preble County,41496
Putnam County,34196
Richland County,121994
Ross County,77093
Sandusky County,59827
Scioto County,77321
Seneca County,55802
Shelby County,48954
Stark County,375565
Summit County,542462
Trumbull County,204982
Tuscarawas County,92668
Union County,53723
Van Wert County,28332
Vinton County,13211
Warren County,221306
Washington County,61152
Wayne County,115918
Williams County,37190
Wood County,129336
Wyandot County,22281
Oklahoma,3878367
Adair County,22237
Alfalfa County,5812
Atoka County,13922
Beaver County,5524
Beckham County,23599
Blaine County,9835
Bryan County,44495
Caddo County,29457
Canadian County,129383
Carter County,48581
Cherokee County,48237
Choctaw County,15096
Cimarron County,2273
Cleveland County,269867
Coal County,5710
Comanche County,124823
Cotton County,6117
Craig County,14629
Creek County,70531
Custer County,29426
Delaware County,41690
Dewey County,4954
Ellis County,4119
Garfield County,62814
Garvin County,27604
Grady County,53898
Grant County,4459
Greer County,6117
Harmon County,2783
Harper County,3894
Haskell County,12774
Hughes County,13676
Jackson County,25826
Jefferson County,6294
Johnston County,11092
Kay County,45487
Kingfisher County,15480
Kiowa County,9280
Latimer County,10760
Le Flore County,49965
Lincoln County,34533
Logan County,44688
Love County,9721
McClain County,37255
McCurtain County,33160
McIntosh County,19961
Major County,7780
Marshall County,16153
Mayes County,40917
Murray County,13763
Muskogee County,69743
Noble County,11532
Nowata County,10490
Okfuskee County,12170
Oklahoma County,767316
Okmulgee County,39097
Osage County,47494
Ottawa County,31905
Pawnee County,16363
Payne County,80531
Pittsburg County,44835
Pontotoc County,38308
Pottawatomie County,71539
Pushmataha County,11103
Roger Mills County,3760
Rogers County,89397
Seminole County,25361
Sequoyah County,41453
Stephens County,44593
Texas County,21733
Tillman County,7684
Tulsa County,631441
Wagoner County,75663
Washington County,52006
Washita County,11627
Woods County,9236
Woodward County,21536
Oregon,3964106
Baker County,16012
Benton County,87221
Clackamas County,393453
Clatsop County,37440
Columbia County,49499
Coos County,62367
Crook County,20957
Curry County,22140
Deschutes County,169506
Douglas County,106702
Gilliam County,1930
Grant County,7190
Harney County,7127
Hood River County,22695
Jackson County,209226
Jefferson County,22208
Josephine County,83364
Klamath County,65277
Lake County,7823
Lane County,358076
Lincoln County,46348
Linn County,119063
Malheur County,30366
Marion County,324578
Morrow County,11110
Multnomah County,778604
Polk County,77691
Sherman County,1712
Tillamook County,25325
Umatilla County,76708
Union County,25633
Wallowa County,6778
Wasco County,25275
Washington County,562539
Wheeler County,1350
Yamhill County,100813
Pennsylvania,12789101
Adams County,101350
Allegheny County,1233073
Armstrong County,67466
Beaver County,168998
Bedford County,49118
Berks County,414593
Blair County,125276
Bradford County,61955
Bucks County,625334
Butler County,185754
Cambria County,137520
Cameron County,4832
Carbon County,64270
Centre County,159655
Chester County,512852
Clarion County,38917
Clearfield County,81020
Clinton County,39471
Columbia County,67127
Crawford County,87151
Cumberland County,243301
Dauphin County,272241
Delaware County,562748
Elk County,31184
Erie County,279437
Fayette County,133989
Forest County,7463
Franklin County,152607
Fulton County,14534
Greene County,37756
Huntingdon County,45737
Indiana County,87423
Jefferson County,44570
Juniata County,24486
Lackawanna County,212858
Lancaster County,533320
Lawrence County,88631
Lebanon County,136524
Lehigh County,357693
Luzerne County,319152
Lycoming County,116303
McKean County,42644
Mercer County,114680
Mifflin County,46490
Monroe County,167313
Montgomery County,815880
Montour County,18417
Northampton County,299624
Northumberland County,93609
Perry County,45664
Philadelphia County,1565604
Pike County,55659
Potter County,17190
Schuylkill County,145391
Snyder County,40232
Somerset County,76151
Sullivan County,6277
Susquehanna County,42090
Tioga County,41896
Union County,44965
Venango County,53354
Warren County,40655
Washington County,207946
Wayne County,52045
Westmoreland County,358975
Wyoming County,28165
York County,440496
Rhode Island,1056017
Bristol County,49073
Kent County,164503
Newport County,83350
Providence County,632737
Washington County,126354
South Carolina,4823793
Abbeville County,24775
Aiken County,164213
Allendale County,9700
Anderson County,191807
Bamberg County,15156
Barnwell County,22026
Beaufort County,175042
Berkeley County,198232
Calhoun County,14846
Charleston County,379814
Cherokee County,56358
Chester County,32432
Chesterfield County,46161
Clarendon County,34181
Colleton County,37540
Darlington County,67654
Dillon County,31298
Dorchester County,148791
Edgefield County,26644
Fairfield County,23027
Florence County,138791
Georgetown County,60850
Greenville County,481436
Greenwood County,69701
Hampton County,20426
Horry County,297708
Jasper County,26675
Kershaw County,63189
Lancaster County,83446
Laurens County,66510
Lee County,18326
Lexington County,277446
McCormick County,9812
Marion County,31955
Marlboro County,28018
Newberry County,37669
Oconee County,75211
Orangeburg County,90041
Pickens County,120542
Richland County,400361
Saluda County,20087
Spartanburg County,293076
Sumter County,107653
Union County,27918
Williamsburg County,32746
York County,244503
South Dakota,849088
Aurora County,2743
Beadle County,18057
Bennett County,3435
Bon Homme County,6982
Brookings County,33248
Brown County,38251
Brule County,5277
Buffalo County,2086
Butte County,10243
Campbell County,1401
Charles Mix County,9236
Clark County,3649
Clay County,13881
Codington County,27949
Corson County,4174
Custer County,8430
Davison County,19964
Day County,5501
Deuel County,4320
Dewey County,5659
Douglas County,2928
Edmunds County,3969
Fall River County,6845
Faulk County,2320
Grant County,7312
Gregory County,4226
Haakon County,1846
Hamlin County,5960
Hand County,3340
Hanson County,3423
Harding County,1245
Hughes County,17624
Hutchinson County,7225
Hyde County,1393
Jackson County,3263
Jerauld County,2041
Jones County,956
Kingsbury County,5053
Lake County,12089
Lawrence County,24729
Lincoln County,51576
Lyman County,3858
McCook County,5547
McPherson County,2418
Marshall County,4729
Meade County,26720
Mellette County,2066
Miner County,2281
Minnehaha County,180832
Moody County,6435
Oglala Lakota County,14213
Pennington County,107508
Perkins County,3014
Potter County,2304
Roberts County,10278
Sanborn County,2331
Spink County,6655
Stanley County,2980
Sully County,1405
Todd County,9942
Tripp County,5507
Turner County,8191
Union County,14988
Walworth County,5503
Yankton County,22675
Ziebach County,2859
Tennessee,6540826
Anderson County,75139
Bedford County,46288
Benton County,16173
Bledsoe County,14419
Blount County,125839
Bradley County,102795
Campbell County,39891
Cannon County,13612
Carroll County,28370
Carter County,56282
Cheatham County,39611
Chester County,17112
Claiborne County,31541
Clay County,7645
Cocke County,35205
Coffee County,53522
Crockett County,14653
Cumberland County,57851
Davidson County,670180
Decatur County,11683
DeKalb County,19251
Dickson County,50473
Dyer County,37811
Fayette County,39040
Fentress County,17838
Franklin County,41272
Gibson County,49375
Giles County,28824
Grainger County,22861
Greene County,68467
Grundy County,13374
Hamblen County,62979
Hamilton County,350683
Hancock County,6624
Hardeman County,25930
Hardin County,25802
Hawkins County,56372
Haywood County,18173
Henderson County,27990
Henry County,32239
Hickman County,24443
Houston County,8219
Humphreys County,18146
Jackson County,11521
Jefferson County,52388
Johnson County,17932
Knox County,447892
Lake County,7670
Lauderdale County,27354
Lawrence County,42211
Lewis County,11897
Lincoln County,33442
Loudon County,50565
McMinn County,52555
McNairy County,26028
Macon County,22917
Madison County,98104
Marion County,28358
Marshall County,31242
Maury County,85370
Meigs County,11701
Monroe County,45392
Montgomery County,188964
Moore County,6296
Morgan County,21686
Obion County,30822
Overton County,21944
Perry County,7817
Pickett County,5074
Polk County,16686
Putnam County,74946
Rhea County,32558
Roane County,52823
Robertson County,67904
Rutherford County,288703
Scott County,21988
Sequatchie County,14638
Sevier County,94512
Shelby County,938576
Smith County,19026
Stewart County,13218
Sullivan County,156504
Sumner County,172243
Tipton County,61594
Trousdale County,7997
Unicoi County,17919
Union County,18987
Van Buren County,5654
Warren County,39991
Washington County,125753
Wayne County,16789
Weakley County,33990
White County,26234
Williamson County,205258
Wilson County,125196
Texas,26977142
Anderson County,57849
Andrews County,17445
Angelina County,87599
Aransas County,24570
Archer County,8837
Armstrong County,1913
Atascosa County,47708
Austin County,28972
Bailey County,6970
Bandera County,20816
Bastrop County,77994
Baylor County,3567
Bee County,32846
Bell County,330208
Bexar County,1858787
Blanco County,10817
Borden County,665
Bosque County,17719
Bowie County,93502
Brazoria County,337698
Brazos County,209030
Brewster County,9151
Briscoe County,1551
Brooks County,7234
Brown County,37555
Burleson County,17390
Burnet County,43951
Caldwell County,39721
Calhoun County,21821
Callahan County,13506
Cameron County,419467
Camp County,12664
Carson County,6037
Cass County,30121
Castro County,7929
Chambers County,38290
Cherokee County,51219
Childress County,7194
Clay County,10377
Cochran County,2944
Coke County,3215
Coleman County,8417
Collin County,885827
Collingsworth County,3016
Colorado County,20705
Comal County,123195
Comanche County,13475
Concho County,4104
Cooke County,38771
Coryell County,76178
Cottle County,1429
Crane County,4904
Crockett County,3790
Crosby County,5825
Culberson County,2283
Dallam County,7224
Dallas County,2520434
Dawson County,13448
Deaf Smith County,19139
Delta County,5140
Denton County,753429
DeWitt County,20521
Dickens County,2215
Dimmit County,10999
Donley County,3484
Duval County,11519
Eastland County,18262
Ector County,154674
Edwards County,1904
Ellis County,159259
El Paso County,834992
Erath County,40532
Falls County,17214
Fannin County,33598
Fayette County,24792
Fisher County,3887
Floyd County,5947
Foard County,1276
Fort Bend County,684345
Franklin County,10568
Freestone County,19674
Frio County,18946
Gaines County,19350
Galveston County,313426
Garza County,6456
Gillespie County,25495
Glasscock County,1327
Goliad County,7505
Gonzales County,20366
Gray County,23435
Grayson County,123615
Gregg County,123174
Grimes County,27003
Guadalupe County,146848
Hale County,34463
Hall County,3074
Hamilton County,8159
Hansford County,5562
Hardeman County,3991
Hardin County,55508
Harris County,4458709
Harrison County,66610
Hartley County,6056
Haskell County,5809
Hays County,184895
Hemphill County,4164
Henderson County,79302
Hidalgo County,830824
Hill County,34776
Hockley County,23469
Hood County,53820
Hopkins County,35696
Houston County,22815
Howard County,36602
Hudspeth County,3308
Hunt County,88679
Hutchinson County,21921
Irion County,1574
Jack County,8885
Jackson County,14726
Jasper County,35421
Jeff Davis County,2217
Jefferson County,252915
Jim Hogg County,5334
Jim Wells County,41503
Johnson County,156754
Jones County,19846
Karnes County,14913
Kaufman County,110913
Kendall County,38402
Kenedy County,437
Kent County,748
Kerr County,50334
Kimble County,4466
King County,263
Kinney County,3555
Kleberg County,31910
Knox County,3802
Lamar County,49417
Lamb County,13484
Lampasas County,20113
La Salle County,7486
Lavaca County,19783
Lee County,16626
Leon County,16737
Liberty County,78056
Limestone County,23538
Lipscomb County,3553
Live Oak County,12057
Llano County,19662
Loving County,89
Lubbock County,294488
Lynn County,5799
McCulloch County,8157
McLennan County,243220
McMullen County,800
Madison County,13869
Marion County,10153
Martin County,5462
Mason County,4096
Matagorda County,36501
Maverick County,57197
Medina County,47839
Menard County,2128
Midland County,156787
Milam County,24145
Mills County,4871
Mitchell County,9074
Montague County,19368
Montgomery County,517328
Moore County,22006
Morris County,12606
Motley County,1149
Nacogdoches County,65248
Navarro County,47947
Newton County,14292
Nolan County,15128
Nueces County,356747
Ochiltree County,10727
Oldham County,2069
Orange County,83249
Palo Pinto County,28034
Panola County,23749
Parker County,122165
Parmer County,9962
Pecos County,15836
Polk County,45830
Potter County,122119
Presidio County,7216
Rains County,11012
Randall County,128736
Reagan County,3788
Real County,3348
Red River County,12452
Reeves County,14557
Refugio County,7357
Roberts County,914
Robertson County,16468
Rockwall County,87073
Runnels County,10297
Rusk County,53238
Sabine County,10431
San Augustine County,8480
San Jacinto County,27051
San Patricio County,66665
San Saba County,5862
Schleicher County,3165
Scurry County,17380
Shackelford County,3320
Shelby County,25624
Sherman County,3064
Smith County,219605
Somervell County,8562
Starr County,63059
Stephens County,9345
Sterling County,1341
Stonewall County,1388
Sutton County,3970
Swisher County,7555
Tarrant County,1946639
Taylor County,135003
Terrell County,910
Terry County,12795
Throckmorton County,1613
Titus County,32530
Tom Green County,116327
Travis County,1152758
Trinity County,14300
Tyler County,21457
Upshur County,40286
Upton County,3483
Uvalde County,27046
Val Verde County,48877
Van Zandt County,52799
Victoria County,91059
Walker County,70086
Waller County,46794
Ward County,11574
Washington County,34404
Webb County,267732
Wharton County,41124
Wheeler County,5699
Wichita County,132649
Wilbarger County,12991
Willacy County,21966
Williamson County,488041
Wilson County,46161
Winkler County,7826
Wise County,61705
Wood County,42774
Yoakum County,8404
Young County,18278
Zapata County,14404
Zavala County,12259
Utah,2937399
Beaver County,6429
Box Elder County,51303
Cache County,117906
Carbon County,20634
Daggett County,1124
Davis County,328756
Duchesne County,20206
Emery County,10638
Garfield County,5005
Grand County,9477
Iron County,47045
Juab County,10409
Kane County,7166
Millard County,12544
Morgan County,10602
Piute County,1467
Rich County,2274
Salt Lake County,1090257
San Juan County,15052
Sanpete County,28295
Sevier County,20735
Summit County,39118
Tooele County,61446
Uintah County,36921
Utah County,560751
Wasatch County,27822
Washington County,151109
Wayne County,2696
Weber County,240212
Vermont,625218
Addison County,36933
Bennington County,36173
Caledonia County,30868
Chittenden County,159961
Essex County,6154
Franklin County,48749
Grand Isle County,6967
Lamoille County,25130
Orange County,28878
Orleans County,27021
Rutland County,60031
Washington County,58960
Windham County,43663
Windsor County,55730
Virginia,8312076
Accomack County,32970
Albemarle County,103743
Alleghany County,15602
Amelia County,12716
Amherst County,32158
Appomattox County,15348
Arlington County,226043
Augusta County,73880
Bath County,4535
Bedford County,77046
Bland County,6585
Botetourt County,33077
Brunswick County,16826
Buchanan County,23144
Buckingham County,16935
Campbell County,55267
Caroline County,29749
Carroll County,29707
Charles City County,6975
Charlotte County,12176
Chesterfield County,332148
Clarke County,14314
Craig County,5176
Culpeper County,49248
Cumberland County,9838
Dickenson County,15344
Dinwiddie County,28098
Essex County,11067
Fairfax County,1136573
Fauquier County,68132
Floyd County,15527
Fluvanna County,25970
Franklin County,56268
Frederick County,82730
Giles County,16849
Gloucester County,37024
Goochland County,21854
Grayson County,15922
Greene County,19104
Greensville County,11563
Halifax County,35190
Hanover County,101730
Henrico County,321924
Henry County,52230
Highland County,2238
Isle of Wight County,35860
James City County,72077
King and Queen County,7085
King George County,25262
King William County,16150
Lancaster County,10862
Lee County,24716
Loudoun County,362290
Louisa County,34314
Lunenburg County,12481
Madison County,13034
Mathews County,8814
Mecklenburg County,31112
Middlesex County,10653
Montgomery County,97117
Nelson County,14865
New Kent County,20017
Northampton County,12045
Northumberland County,12254
Nottoway County,15505
Orange County,34922
Page County,23785
Patrick County,18176
Pittsylvania County,62378
Powhatan County,28488
Prince Edward County,22976
Prince George County,37411
Prince William County,443926
Pulaski County,34342
Rappahannock County,7333
Richmond County,8884
Roanoke County,93371
Rockbridge County,22433
Rockingham County,77885
Russell County,28054
Scott County,22518
Shenandoah County,42731
Smyth County,31571
Southampton County,18221
Spotsylvania County,128804
Stafford County,138813
Surry County,6780
Sussex County,11721
Tazewell County,43386
Warren County,40103
Washington County,54604
Westmoreland County,17440
Wise County,39908
Wythe County,29044
York County,66573
Alexandria city,151431
Bristol city,17199
Buena Vista city,6550
Charlottesville city,45522
Chesapeake city,233380
Colonial Heights city,17440
Covington city,5775
Danville city,42267
Emporia city,5597
Fairfax city,23315
Falls Church city,13454
Franklin city,8399
Fredericksburg city,28254
Galax city,6904
Hampton city,137597
Harrisonburg city,52558
Hopewell city,22109
Lexington city,7121
Lynchburg city,78155
Manassas city,41180
Manassas Park city,15924
Martinsville city,13317
Newport News city,181576
Norfolk city,246587
Norton city,4136
Petersburg city,32236
Poquoson city,12003
Portsmouth city,95826
Radford city,17390
Richmond city,217003
Roanoke city,99443
Salem city,25427
Staunton city,24287
Suffolk city,86892
Virginia Beach city,448913
Waynesboro city,21312
Williamsburg city,14566
Winchester city,27394
Washington,7052439
Adams County,19200
Asotin County,22189
Benton County,186542
Chelan County,74170
Clallam County,72477
Clark County,448277
Columbia County,3984
Cowlitz County,101799
Douglas County,39795
Ferry County,7590
Franklin County,87743
Garfield County,2201
Grant County,92968
Grays Harbor County,70783
Island County,78698
Jefferson County,30139
King County,2085730
Kitsap County,253415
Kittitas County,42597
Klickitat County,20864
Lewis County,74858
Lincoln County,10227
Mason County,60615
Okanogan County,41252
Pacific County,20566
Pend Oreille County,12917
Pierce County,828920
San Juan County,16010
Skagit County,119992
Skamania County,11377
Snohomish County,757417
Spokane County,482926
Stevens County,43470
Thurston County,264975
Wahkiakum County,4043
Walla Walla County,59536
Whatcom County,208215
Whitman County,46916
Yakima County,247046
West Virginia,1849467
Barbour County,16903
Berkeley County,110187
Boone County,23710
Braxton County,14404
Brooke County,23384
Cabell County,96634
Calhoun County,7559
Clay County,8880
Doddridge County,8471
Fayette County,45161
Gilmer County,8497
Grant County,11639
Greenbrier County,35581
Hampshire County,23439
Hancock County,30248
Hardy County,13954
Harrison County,68680
Jackson County,29131
Jefferson County,55624
Kanawha County,190353
Lewis County,16447
Lincoln County,21521
Logan County,35248
McDowell County,20388
Marion County,56780
Marshall County,32338
Mason County,27148
Mercer County,61762
Mineral County,27538
Mingo County,25739
Monongalia County,103486
Monroe County,13612
Morgan County,17516
Nicholas County,25718
Ohio County,43261
Pendleton County,7229
Pleasants County,7588
Pocahontas County,8652
Preston County,33918
Putnam County,56634
Raleigh County,78185
Randolph County,29374
Ritchie County,10076
Roane County,14595
Summers County,13329
Taylor County,17100
Tucker County,7051
Tyler County,9086
Upshur County,24662
Wayne County,41507
Webster County,8751
Wetzel County,15957
Wirt County,5791
Wood County,86465
Wyoming County,22576
Wisconsin,5751974
Adams County,20129
Ashland County,15998
Barron County,45343
Bayfield County,14975
Brown County,256245
Buffalo County,13230
Burnett County,15230
Calumet County,49472
Chippewa County,63334
Clark County,34354
Columbia County,56638
Crawford County,16347
Dane County,516338
Dodge County,88090
Door County,27466
Douglas County,43641
Dunn County,44076
Eau Claire County,101688
Florence County,4345
Fond du Lac County,101986
Forest County,9102
Grant County,51681
Green County,36856
Green Lake County,18759
Iowa County,23585
Iron County,5859
Jackson County,20577
Jefferson County,84369
Juneau County,26338
Kenosha County,167856
Kewaunee County,20336
La Crosse County,117446
Lafayette County,16778
Langlade County,19252
Lincoln County,28104
Manitowoc County,79959
Marathon County,135131
Marinette County,41047
Marquette County,15071
Menominee County,4504
Milwaukee County,958546
Monroe County,45158
Oconto County,37463
Oneida County,35323
Outagamie County,182170
Ozaukee County,87580
Pepin County,7297
Pierce County,41028
Polk County,43331
Portage County,70521
Price County,13656
Racine County,194833
Richland County,17745
Rock County,160950
Rusk County,14350
St. Croix County,86544
Sauk County,62975
Sawyer County,16361
Shawano County,41347
Sheboygan County,114998
Taylor County,20415
Trempealeau County,29409
Vernon County,30190
Vilas County,21403
Walworth County,103193
Washburn County,15658
Washington County,133600
Waukesha County,395431
Waupaca County,51948
Waushara County,24093
Winnebago County,169330
Wood County,73593
Wyoming,582548
Albany County,37622
Big Horn County,11853
Campbell County,48132
Carbon County,15872
Converse County,14203
Crook County,7237
Fremont County,40562
Goshen County,13526
Hot Springs County,4786
Johnson County,8582
Laramie County,96038
Lincoln County,18563
Natrona County,81375
Niobrara County,2489
Park County,28962
Platte County,8772
Sheridan County,29848
Sublette County,10152
Sweetwater County,44957
Teton County,22777
Uinta County,20827
Washakie County,8275
Weston County,7138
