State,County,n_incidents
Alabama,Alpine,2
Alabama,Autauga,39
Alabama,Baldwin,85
Alabama,Barbour,20
Alabama,Bibb,8
Alabama,Blount,20
Alabama,Bullock,18
Alabama,Butler,26
Alabama,Calhoun,95
Alabama,Chambers,27
Alabama,Cherokee,14
Alabama,Chilton,21
Alabama,Choctaw,7
Alabama,Clarke,2
Alabama,Clay,3
Alabama,Cleburne,7
Alabama,Coffee,34
Alabama,Colbert,39
Alabama,Columbus,1
Alabama,Conecuh,3
Alabama,Coosa,7
Alabama,Covington,20
Alabama,Crenshaw,9
Alabama,Cullman,32
Alabama,Dale,28
Alabama,Dallas,146
Alabama,DeKalb,38
Alabama,Dekalb,2
Alabama,Elmore,46
Alabama,Escambia,28
Alabama,Etowah,76
Alabama,Fayette,1
Alabama,Franklin,21
Alabama,Geneva,11
Alabama,Greene,7
Alabama,Hale,12
Alabama,Henry,3
Alabama,Houston,95
Alabama,Jackson,20
Alabama,Jefferson,1453
Alabama,Lamar,3
Alabama,Lauderdale,57
Alabama,Lawrence,11
Alabama,Lee,129
Alabama,Limestone,72
Alabama,Lowndes,9
Alabama,Macon,29
Alabama,Madison,604
Alabama,Marengo,12
Alabama,Marion,7
Alabama,Marshall,56
Alabama,Mobile,706
Alabama,Monroe,3
Alabama,Montgomery,495
Alabama,Morgan,120
Alabama,Perry,9
Alabama,Pickens,6
Alabama,Pickens County,1
Alabama,Pike,39
Alabama,Randolph,3
Alabama,Russell,60
Alabama,Saint Clair,1
Alabama,Shelby,43
Alabama,St. Clair,17
Alabama,Sumter,13
Alabama,Sunflower,1
Alabama,Talladega,39
Alabama,Tallapoosa,38
Alabama,Tuscaloosa,253
Alabama,Walker,27
Alabama,Washington,2
Alabama,Wilcox,11
Alabama,Winston,2
Alaska,Aleutians West,1
Alaska,Anchorage,494
Alaska,Barrow,10
Alaska,Bethel,41
Alaska,Bristol Bay,1
Alaska,Denali,6
Alaska,Dillingham,18
Alaska,Fairbanks North Star,248
Alaska,Haines,5
Alaska,Hoonah-Angoon,2
Alaska,Juneau,99
Alaska,Kenai Peninsula,84
Alaska,Ketchikan Gateway,16
Alaska,Kodiak Island,17
Alaska,Kusilvak,23
Alaska,Lake and Peninsula,8
Alaska,Matanuska-Susitna,172
Alaska,Nome,12
Alaska,North Slope,1
Alaska,Northwest Arctic,15
Alaska,Petersburg Borough,1
Alaska,Prince Of Wales Hyder,3
Alaska,Prince of Wales-Hyder,13
Alaska,Sitka,3
Alaska,Southeast Fairbanks,22
Alaska,Valdez-Cordova,7
Alaska,Yukon-Koyukuk,15
Arizona,Apache,7
Arizona,Cochise,46
Arizona,Coconino,43
Arizona,Dewey,1
Arizona,Gila,8
Arizona,Graham,9
Arizona,Greenlee,1
Arizona,La Paz,8
Arizona,Maricopa,1554
Arizona,Mohave,75
Arizona,Mojave,1
Arizona,Navajo,14
Arizona,Pima,357
Arizona,Pinal,69
Arizona,Santa Cruz,7
Arizona,Yavapai,42
Arizona,Yuma,51
Arkansas,Arkansas,7
Arkansas,Ashley,6
Arkansas,Baxter,39
Arkansas,Benton,70
Arkansas,Boone,11
Arkansas,Bradley,4
Arkansas,Calhoun,2
Arkansas,Carroll,6
Arkansas,Chicot,3
Arkansas,Choctaw,1
Arkansas,Clark,5
Arkansas,Clay,6
Arkansas,Cleburne,12
Arkansas,Columbia,5
Arkansas,Conway,1
Arkansas,Craighead,273
Arkansas,Crawford,21
Arkansas,Crittenden,22
Arkansas,Cross,15
Arkansas,Dallas,1
Arkansas,Desha,4
Arkansas,Drew,16
Arkansas,Faulkner,55
Arkansas,Franklin,4
Arkansas,Garland,31
Arkansas,Grant,5
Arkansas,Greene,21
Arkansas,Hempstead,13
Arkansas,Hot Spring,4
Arkansas,Howard,1
Arkansas,Independence,15
Arkansas,Izard,4
Arkansas,Jackson,14
Arkansas,Jefferson,148
Arkansas,Jefferson ,1
Arkansas,Johnson,11
Arkansas,Lafayette,2
Arkansas,Lawrence,12
Arkansas,LeFlore,2
Arkansas,Lee,3
Arkansas,Leflore,1
Arkansas,Lincoln,4
Arkansas,Little River,7
Arkansas,Logan,9
Arkansas,Lonoke,23
Arkansas,Madera,1
Arkansas,Madison,6
Arkansas,Marion,7
Arkansas,Miller,42
Arkansas,Mississippi,114
Arkansas,Monroe,8
Arkansas,Montgomery,1
Arkansas,Nevada,3
Arkansas,Newton,1
Arkansas,Norfolk,1
Arkansas,Ouachita,5
Arkansas,Perry,5
Arkansas,Phillips,43
Arkansas,Pike,1
Arkansas,Poinsett,21
Arkansas,Polk,3
Arkansas,Pope,28
Arkansas,Prairie,1
Arkansas,Pulaski,1133
Arkansas,Randolph,4
Arkansas,Saline,56
Arkansas,Scott,1
Arkansas,Searcy,4
Arkansas,Sebastian,106
Arkansas,Sevier,4
Arkansas,Sharp,13
Arkansas,St. Francis,36
Arkansas,Stone,1
Arkansas,Union,23
Arkansas,Van Buren,3
Arkansas,Washington,102
Arkansas,White,34
Arkansas,Woodruff,1
Arkansas,Yell,6
California,Alameda,1821
California,Amador,4
California,Butte,219
California,Calaveras,16
California,Colusa,7
California,Contra Costa,549
California,Del Norte,9
California,El Dorado,29
California,Fresno,1173
California,Glenn,14
California,Greenwood,1
California,Humboldt,323
California,Humboldt County,4
California,Huntington,1
California,Imperial,37
California,Kern,777
California,Kings,55
California,Lake,22
California,Lassen,3
California,Llano,1
California,Los Angeles,2989
California,Madera,49
California,Marin,35
California,Mariposa,6
California,Mendocino,33
California,Merced,262
California,Merced County,1
California,Mesa,2
California,Modoc,2
California,Monterey,486
California,Napa,22
California,Nevada,25
California,Orange,523
California,Placer,60
California,Riverside,795
California,Sacramento,634
California,San Benito,10
California,San Bernardino,778
California,San Diego,654
California,San Francisco,419
California,San Joaquin,621
California,San Joaquin County,1
California,San Luis Obispo,29
California,San Mateo,87
California,Santa Barbara,104
California,Santa Clara,365
California,Santa Cruz,142
California,Shasta,94
California,Siskiyou,14
California,Solano,182
California,Somerset,1
California,Sonoma,126
California,Stanislaus,264
California,Sutter,22
California,Tehama,173
California,Trinity,15
California,Tulare,246
California,Tuolumne,11
California,Valencia,3
California,Ventura,386
California,Westchester,1
California,Yolo,27
California,Yuba,35
Colorado,Adams,310
Colorado,Alamosa,3
Colorado,Arapahoe,95
Colorado,Archuleta,4
Colorado,Baca,1
Colorado,Boulder,72
Colorado,Broomfield,8
Colorado,Chaffee,1
Colorado,Clear Creek,2
Colorado,Conejos,2
Colorado,Costilla,1
Colorado,Custer,2
Colorado,Delta,6
Colorado,Denver,725
Colorado,Douglas,38
Colorado,Eagle,17
Colorado,El Paso,839
Colorado,Elbert,7
Colorado,Fremont,36
Colorado,Garfield,19
Colorado,Gilpin,3
Colorado,Grand,2
Colorado,Gunnison,4
Colorado,Huerfano,4
Colorado,Jefferson,74
Colorado,Kit Carson,1
Colorado,La Plata,13
Colorado,Lake,1
Colorado,Larimer,98
Colorado,Las Animas,5
Colorado,Lincoln,2
Colorado,Mesa,241
Colorado,Moffat,4
Colorado,Montezuma,5
Colorado,Montrose,17
Colorado,Morgan,1
Colorado,Otero,3
Colorado,Park,7
Colorado,Phillips,1
Colorado,Pine,1
Colorado,Pitkin,8
Colorado,Prowers,1
Colorado,Pueblo,380
Colorado,Rio Blanco,1
Colorado,Rio Grande,4
Colorado,Routt,5
Colorado,Saguache,5
Colorado,San Miguel,1
Colorado,Summit,4
Colorado,Teller,6
Colorado,Washington,1
Colorado,Weld,103
Colorado,Yuma,1
Connecticut,Burlington,3
Connecticut,Cheshire,6
Connecticut,Columbia,2
Connecticut,Essex,2
Connecticut,Fairfield,1059
Connecticut,Goshen,1
Connecticut,Guilford,2
Connecticut,Hampton,1
Connecticut,Hartford,732
Connecticut,Kent,3
Connecticut,Lebanon,3
Connecticut,Litchfield,33
Connecticut,Madison,2
Connecticut,Middlesex,26
Connecticut,Monroe,4
Connecticut,New Haven,686
Connecticut,New London,128
Connecticut,Oxford,4
Connecticut,Preston,3
Connecticut,Salem,1
Connecticut,Stafford,2
Connecticut,Sterling,1
Connecticut,Tolland,10
Connecticut,Vernon,4
Connecticut,Weston,1
Connecticut,Windham,31
Connecticut,Windsor,4
Delaware,Kent,342
Delaware,Lincoln,10
Delaware,New Castle,1181
Delaware,Sussex,140
District of Columbia,District of Columbia,3184
Florida,Alachua,239
Florida,Arlington,1
Florida,Baker,13
Florida,Bay,201
Florida,Bradford,7
Florida,Brevard,336
Florida,Broward,780
Florida,Calhoun,7
Florida,Charlotte,52
Florida,Citrus,27
Florida,Clay,64
Florida,Collier,165
Florida,Columbia,56
Florida,DeSoto,4
Florida,Dixie,6
Florida,Duval,2339
Florida,Escambia,265
Florida,Flagler,113
Florida,Florida,2
Florida,Franklin,13
Florida,Gadsden,13
Florida,Gilchrist,6
Florida,Gulf,8
Florida,Hamilton,3
Florida,Hendry,9
Florida,Hernando,98
Florida,Highlands,40
Florida,Hillsborough,831
Florida,Holmes,13
Florida,Indian River,122
Florida,Jackson,77
Florida,Jefferson,3
Florida,Lackawanna,1
Florida,Lafayette,1
Florida,Lake,224
Florida,Lee,700
Florida,Leon,264
Florida,Levy,15
Florida,Liberty,16
Florida,Madison,23
Florida,Manatee,299
Florida,Marion,389
Florida,Martin,79
Florida,Miami-Dade,1297
Florida,Miami-dade,44
Florida,Monroe,92
Florida,Nassau,37
Florida,Okaloosa,204
Florida,Okeechobee,45
Florida,Orange,1426
Florida,Osceola,104
Florida,Palm Beach,1298
Florida,Pasco,128
Florida,Pinellas,383
Florida,Polk,221
Florida,Putnam,72
Florida,Saint Johns,5
Florida,Saint Lucie,4
Florida,San Mateo,2
Florida,Santa Rosa,67
Florida,Sarasota,178
Florida,Seminole,189
Florida,St. Johns,88
Florida,St. Lucie,331
Florida,Sumter,43
Florida,Suwannee,8
Florida,Taylor,11
Florida,Union,3
Florida,Volusia,410
Florida,Wakulla,10
Florida,Walton,17
Florida,Washington,28
Georgia,Appling,2
Georgia,Atkinson,2
Georgia,Bacon,7
Georgia,Baldwin,66
Georgia,Banks,5
Georgia,Barrow,80
Georgia,Bartow,46
Georgia,Ben Hill,6
Georgia,Berrien,6
Georgia,Bibb,512
Georgia,Bleckley,2
Georgia,Brooks,4
Georgia,Bryan,20
Georgia,Bulloch,190
Georgia,Burke,31
Georgia,Butts,6
Georgia,Calhoun,1
Georgia,Camden,5
Georgia,Candler,7
Georgia,Carroll,25
Georgia,Catoosa,12
Georgia,Charlton,3
Georgia,Chatham,779
Georgia,Chattahoochee,1
Georgia,Chattooga,9
Georgia,Cherokee,36
Georgia,Clarke,381
Georgia,Clay,1
Georgia,Clayton,137
Georgia,Clinch,4
Georgia,Cobb,213
Georgia,Coffee,38
Georgia,Colquitt,138
Georgia,Columbia,44
Georgia,Cook,14
Georgia,Coweta,59
Georgia,Crawford,8
Georgia,Crisp,37
Georgia,Dade,3
Georgia,Darlington,1
Georgia,Dawson,8
Georgia,DeKalb,372
Georgia,Decatur,22
Georgia,Dekalb,63
Georgia,Dodge,9
Georgia,Dooly,5
Georgia,Dougherty,220
Georgia,Douglas,33
Georgia,Early,4
Georgia,Effingham,76
Georgia,Elbert,7
Georgia,Emanuel,12
Georgia,Evans,1
Georgia,Fannin,1
Georgia,Fayette,23
Georgia,Floyd,245
Georgia,Forsyth,33
Georgia,Franklin,6
Georgia,Fulton,1665
Georgia,Gilmer,4
Georgia,Glynn,85
Georgia,Gordon,17
Georgia,Grady,10
Georgia,Greene,2
Georgia,Gwinnett,213
Georgia,Habersham,14
Georgia,Hall,71
Georgia,Hancock,2
Georgia,Haralson,4
Georgia,Harris,4
Georgia,Hart,5
Georgia,Heard,1
Georgia,Henry,34
Georgia,Houston,111
Georgia,Irwin,7
Georgia,Jackson,80
Georgia,Jasper,3
Georgia,Jeff Davis,2
Georgia,Jefferson,4
Georgia,Jenkins,4
Georgia,Johnson,4
Georgia,Jones,3
Georgia,LaGrange,1
Georgia,Lamar,4
Georgia,Lanier,4
Georgia,Laurens,16
Georgia,Lee,11
Georgia,Liberty,31
Georgia,Lincoln,4
Georgia,Long,6
Georgia,Lowndes,169
Georgia,Lumpkin,2
Georgia,Macon,4
Georgia,Madison,61
Georgia,Marion,1
Georgia,McDuffie,19
Georgia,McIntosh,2
Georgia,Meriwether,9
Georgia,Midland,1
Georgia,Miller,3
Georgia,Mitchell,11
Georgia,Monroe,14
Georgia,Montgomery,3
Georgia,Morgan,4
Georgia,Murray,3
Georgia,Muscogee,817
Georgia,Newton,61
Georgia,Oconee,50
Georgia,Oglethorpe,2
Georgia,Paulding,28
Georgia,Peach,36
Georgia,Pickens,6
Georgia,Pierce,1
Georgia,Pike,1
Georgia,Polk,14
Georgia,Pulaski,5
Georgia,Putnam,5
Georgia,Quitman,2
Georgia,Rabun,4
Georgia,Randolph,1
Georgia,Richmond,395
Georgia,Rockdale,34
Georgia,Screven,5
Georgia,Spalding,23
Georgia,Spaulding,1
Georgia,Stephens,15
Georgia,Stewart,2
Georgia,Sumter,29
Georgia,Talbot,2
Georgia,Taliaferro,2
Georgia,Tattnall,3
Georgia,Telfair,2
Georgia,Terrell,10
Georgia,Thomas,47
Georgia,Tift,49
Georgia,Toombs,13
Georgia,Towns,4
Georgia,Troup,25
Georgia,Turner,5
Georgia,Twiggs,7
Georgia,Union,1
Georgia,Upson,4
Georgia,Walker,21
Georgia,Walton,25
Georgia,Ware,9
Georgia,Warren,8
Georgia,Washington,8
Georgia,Wayne,4
Georgia,Webster,1
Georgia,White,6
Georgia,Whitfield,25
Georgia,Wilcox,4
Georgia,Wilkes,3
Georgia,Wilkinson,3
Georgia,Winston,1
Georgia,Worth,10
Hawaii,Hawaii,100
Hawaii,Honolulu,117
Hawaii,Kauai,15
Hawaii,Maui,22
Idaho,Ada,150
Idaho,Adams,1
Idaho,Bannock,51
Idaho,Benewah,6
Idaho,Bingham,17
Idaho,Blaine,2
Idaho,Boise,1
Idaho,Bonner,23
Idaho,Bonneville,63
Idaho,Boundary,2
Idaho,Canyon,100
Idaho,Caribou,4
Idaho,Cassia,5
Idaho,Clark,1
Idaho,Clearwater,3
Idaho,Custer,1
Idaho,Elmore,8
Idaho,Franklin,2
Idaho,Gem,5
Idaho,Gooding,7
Idaho,Idaho,3
Idaho,Jefferson,14
Idaho,Jerome,6
Idaho,Kootenai,30
Idaho,Kootenai County,1
Idaho,Latah,20
Idaho,Lemhi,2
Idaho,Lewis,1
Idaho,Lincoln,3
Idaho,Madison,10
Idaho,Minidoka,6
Idaho,Nez Perce,19
Idaho,Oneida,1
Idaho,Owyhee,3
Idaho,Payette,5
Idaho,Power,1
Idaho,Shoshone,12
Idaho,Teton,4
Idaho,Twin Falls,28
Idaho,Washington,2
Illinois,Adams,68
Illinois,Alexander,7
Illinois,Bond,1
Illinois,Boone,15
Illinois,Bristol,2
Illinois,Bureau,4
Illinois,Calhoun,2
Illinois,Carroll,2
Illinois,Champaign,352
Illinois,Christian,8
Illinois,Clinton,3
Illinois,Coles,28
Illinois,Cook,12235
Illinois,Cumberland,2
Illinois,De Witt,3
Illinois,DeKalb,8
Illinois,Douglas,2
Illinois,DuPage,84
Illinois,Edgar,2
Illinois,Edwards,1
Illinois,Effingham,8
Illinois,Fayette,3
Illinois,Ford,5
Illinois,Franklin,17
Illinois,Fulton,3
Illinois,Gallatin,1
Illinois,Greene,1
Illinois,Grundy,8
Illinois,Hancock,6
Illinois,Hardin,1
Illinois,Henderson,4
Illinois,Henry,9
Illinois,Iroquois,7
Illinois,Jackson,102
Illinois,Jasper,1
Illinois,Jefferson,42
Illinois,Jersey,1
Illinois,Jo Daviess,5
Illinois,Kane,296
Illinois,Kankakee,204
Illinois,Kendall,10
Illinois,Knox,16
Illinois,LaSalle,6
Illinois,Lake,146
Illinois,Lasalle,1
Illinois,Lee,6
Illinois,Livingston,4
Illinois,Logan,3
Illinois,Macon,147
Illinois,Macoupin,6
Illinois,Madison,196
Illinois,Marion,48
Illinois,Marion County,1
Illinois,Marshall,3
Illinois,Massac,12
Illinois,McDonough,4
Illinois,McHenry,38
Illinois,McLean,66
Illinois,Mchenry,1
Illinois,Menard,3
Illinois,Mercer,1
Illinois,Monroe,5
Illinois,Montgomery,4
Illinois,Morgan,12
Illinois,Ogle,7
Illinois,Owen,1
Illinois,Ozark,1
Illinois,Peoria,931
Illinois,Perry,6
Illinois,Piatt,4
Illinois,Pike,1
Illinois,Pope,1
Illinois,Pulaski,4
Illinois,Randolph,4
Illinois,Rock Island,65
Illinois,Saint Clair,4
Illinois,Saline,20
Illinois,Sangamon,317
Illinois,Schuyler,1
Illinois,Scott,1
Illinois,Shelby,1
Illinois,St. Clair,321
Illinois,Stark,1
Illinois,Stephenson,65
Illinois,Tazewell,36
Illinois,Union,3
Illinois,Vermilion,115
Illinois,Wabash,1
Illinois,Warren,4
Illinois,Washington,1
Illinois,Wayne,4
Illinois,White,1
Illinois,Whiteside,22
Illinois,Will,296
Illinois,Williamson,48
Illinois,Winnebago,881
Illinois,Woodford,1
Indiana,Adams,5
Indiana,Allen,612
Indiana,Bartholomew,42
Indiana,Benton,3
Indiana,Blackford,1
Indiana,Boone,12
Indiana,Brown,4
Indiana,Calumet,1
Indiana,Carroll,1
Indiana,Cass,12
Indiana,Clark,60
Indiana,Clay,10
Indiana,Clinton,7
Indiana,Crawford,3
Indiana,Daviess,11
Indiana,DeKalb,10
Indiana,Dearborn,11
Indiana,Decatur,10
Indiana,Dekalb,2
Indiana,Delaware,95
Indiana,Dubois,18
Indiana,Elkhart,127
Indiana,Fayette,4
Indiana,Floyd,25
Indiana,Franklin,8
Indiana,Fulton,9
Indiana,Gibson,8
Indiana,Grant,17
Indiana,Greene,6
Indiana,Hamblen,1
Indiana,Hamilton,29
Indiana,Hancock,17
Indiana,Harrison,6
Indiana,Hendricks,27
Indiana,Henry,21
Indiana,Howard,53
Indiana,Huntington,4
Indiana,Jackson,30
Indiana,Jasper,2
Indiana,Jay,2
Indiana,Jefferson,5
Indiana,Jennings,9
Indiana,Johnson,81
Indiana,Knox,4
Indiana,Kosciusko,30
Indiana,La Porte,1
Indiana,LaGrange,3
Indiana,LaPorte,44
Indiana,Lagrange,4
Indiana,Lake,835
Indiana,Laporte,2
Indiana,Lawrence,16
Indiana,Madison,56
Indiana,Marion,1975
Indiana,Marshall,7
Indiana,Martin,4
Indiana,Miami,12
Indiana,Monroe,46
Indiana,Montgomery,10
Indiana,Morgan,7
Indiana,Newton,2
Indiana,Noble,15
Indiana,Ohio,2
Indiana,Orange,5
Indiana,Owen,3
Indiana,Parke,3
Indiana,Perry,4
Indiana,Pike,2
Indiana,Porter,71
Indiana,Posey,6
Indiana,Pulaski,1
Indiana,Putnam,10
Indiana,Randolph,12
Indiana,Ripley,10
Indiana,Rush,4
Indiana,Scott,9
Indiana,Shelby,13
Indiana,Spencer,3
Indiana,St Joseph,1
Indiana,St. Joseph,382
Indiana,Starke,7
Indiana,Steuben,12
Indiana,Sullivan,9
Indiana,Switzerland,1
Indiana,Tippecanoe,174
Indiana,Tipton,1
Indiana,Union,1
Indiana,Vanderburgh,341
Indiana,Vermillion,2
Indiana,Vigo,75
Indiana,Wabash,4
Indiana,Warren,1
Indiana,Warrick,12
Indiana,Washington,9
Indiana,Wayne,95
Indiana,Wells,9
Indiana,White,9
Indiana,Whitley,4
Indiana,Williamsburg,1
Iowa,Adams,2
Iowa,Allamakee,1
Iowa,Appanoose,2
Iowa,Benton,2
Iowa,Black Hawk,510
Iowa,Boone,5
Iowa,Bremer,7
Iowa,Buchanan,6
Iowa,Buena Vista,12
Iowa,Butler,1
Iowa,Calhoun,1
Iowa,Carroll,1
Iowa,Cass,1
Iowa,Cedar,3
Iowa,Cerro Gordo,24
Iowa,Cherokee,2
Iowa,Chickasaw,3
Iowa,Clarke,1
Iowa,Clay,7
Iowa,Clayton,4
Iowa,Clinton,19
Iowa,Crawford,3
Iowa,Dallas,3
Iowa,Decatur,1
Iowa,Delaware,3
Iowa,Des Moines,65
Iowa,Dickinson,5
Iowa,Dubuque,63
Iowa,Emmet,3
Iowa,Fayette,16
Iowa,Floyd,9
Iowa,Franklin,3
Iowa,Fremont,2
Iowa,Greene,2
Iowa,Grundy,2
Iowa,Guthrie,3
Iowa,Hancock,2
Iowa,Hardin,5
Iowa,Harrison,3
Iowa,Henry,6
Iowa,Howard,2
Iowa,Humboldt,3
Iowa,Ida,2
Iowa,Iowa,4
Iowa,Jackson,4
Iowa,Jasper,11
Iowa,Jefferson,3
Iowa,Johnson,91
Iowa,Jones,2
Iowa,Keokuk,1
Iowa,Kossuth,1
Iowa,Lee,15
Iowa,Linn,259
Iowa,Louisa,2
Iowa,Lucas,1
Iowa,Lyon,6
Iowa,Madison,6
Iowa,Madison ,1
Iowa,Mahaska,4
Iowa,Marion,7
Iowa,Marshall,12
Iowa,Mills,4
Iowa,Mitchell,2
Iowa,Monona,4
Iowa,Montgomery,9
Iowa,Muscatine,40
Iowa,Osceola,2
Iowa,Page,2
Iowa,Palo Alto,2
Iowa,Plymouth,7
Iowa,Polk,567
Iowa,Pottawattamie,82
Iowa,Poweshiek,1
Iowa,Ringgold,1
Iowa,Sac,7
Iowa,Scott,332
Iowa,Sioux,5
Iowa,Sterling,1
Iowa,Story,21
Iowa,Tama,4
Iowa,Taylor,2
Iowa,Union,2
Iowa,Wapello,14
Iowa,Washington,7
Iowa,Webster,42
Iowa,Winnebago,6
Iowa,Winneshiek,3
Iowa,Woodbury,91
Iowa,Wright,2
Kansas,Atchison,1
Kansas,Barber,3
Kansas,Barton,20
Kansas,Bourbon,2
Kansas,Brown,3
Kansas,Butler,11
Kansas,Cherokee,10
Kansas,Cheyenne,2
Kansas,Clay,1
Kansas,Comanche,1
Kansas,Cowley,14
Kansas,Crawford,24
Kansas,Decatur,4
Kansas,Dickinson,9
Kansas,Douglas,67
Kansas,Ellis,4
Kansas,Ellsworth,4
Kansas,Finney,10
Kansas,Ford,6
Kansas,Franklin,5
Kansas,Geary,25
Kansas,Greenwood,1
Kansas,Hamilton,1
Kansas,Harper,1
Kansas,Harvey,10
Kansas,Jackson,8
Kansas,Jefferson,7
Kansas,Johnson,124
Kansas,Johnson County,1
Kansas,Kingman,1
Kansas,Labette,26
Kansas,Leavenworth,55
Kansas,Logan,1
Kansas,Lyon,8
Kansas,Marion,3
Kansas,Marshall,2
Kansas,McPherson,6
Kansas,Mcpherson,3
Kansas,Miami,1
Kansas,Montgomery,15
Kansas,Morris,1
Kansas,Nemaha,1
Kansas,Neosho,3
Kansas,Ness,1
Kansas,Norton,1
Kansas,Osage,2
Kansas,Ottawa,1
Kansas,Pawnee,1
Kansas,Pottawatomie,6
Kansas,Pratt,7
Kansas,Reno,25
Kansas,Riley,51
Kansas,Rooks,1
Kansas,Saline,94
Kansas,Scott,1
Kansas,Sedgwick,822
Kansas,Seward,5
Kansas,Shawnee,368
Kansas,Sheridan,1
Kansas,Sherman,2
Kansas,Stafford,2
Kansas,Stevens,1
Kansas,Sumner,1
Kansas,Thomas,1
Kansas,Wabaunsee,1
Kansas,Wilson,1
Kansas,Wyandotte,233
Kentucky,Adair,4
Kentucky,Allen,10
Kentucky,Anderson,15
Kentucky,Ballard,10
Kentucky,Banner,1
Kentucky,Barren,42
Kentucky,Bath,5
Kentucky,Baxter,1
Kentucky,Bell,17
Kentucky,Bledsoe,1
Kentucky,Boone,44
Kentucky,Bourbon,8
Kentucky,Boyd,19
Kentucky,Boyle,17
Kentucky,Bracken,1
Kentucky,Breathitt,8
Kentucky,Breckinridge,3
Kentucky,Bullitt,20
Kentucky,Butler,4
Kentucky,Caldwell,7
Kentucky,Calloway,23
Kentucky,Campbell,24
Kentucky,Carlisle,4
Kentucky,Carroll,1
Kentucky,Carter,9
Kentucky,Casey,6
Kentucky,Christian,137
Kentucky,Clark,15
Kentucky,Clay,16
Kentucky,Clearfield,1
Kentucky,Clinton,2
Kentucky,Crittenden,1
Kentucky,Cumberland,2
Kentucky,Daviess,73
Kentucky,Edmonson,3
Kentucky,Elliott,3
Kentucky,Estill,9
Kentucky,Fayette,850
Kentucky,Fleming,1
Kentucky,Floyd,15
Kentucky,Franklin,54
Kentucky,Fulton,5
Kentucky,Gallatin,1
Kentucky,Garfield,1
Kentucky,Garrard,5
Kentucky,Graham,1
Kentucky,Grant,7
Kentucky,Graves,35
Kentucky,Gray,3
Kentucky,Grayson,7
Kentucky,Greenup,8
Kentucky,Hancock,4
Kentucky,Hardin,39
Kentucky,Harlan,24
Kentucky,Harrison,11
Kentucky,Hart,8
Kentucky,Henderson,72
Kentucky,Henry,5
Kentucky,Hopkins,45
Kentucky,Jackson,3
Kentucky,Jefferson,1426
Kentucky,Jessamine,25
Kentucky,Johnson,5
Kentucky,Kenton,55
Kentucky,Knott,4
Kentucky,Knox,9
Kentucky,LaGrange,2
Kentucky,Laurel,47
Kentucky,Lawrence,6
Kentucky,Lee,6
Kentucky,Leslie,3
Kentucky,Letcher,7
Kentucky,Lewis,4
Kentucky,Lincoln,10
Kentucky,Livingston,2
Kentucky,Logan,16
Kentucky,Lyon,8
Kentucky,Madison,52
Kentucky,Magoffin,1
Kentucky,Marion,5
Kentucky,Marshall,12
Kentucky,Martin,5
Kentucky,Mason,2
Kentucky,McCracken,85
Kentucky,McCreary,3
Kentucky,McLean,2
Kentucky,Mccracken,6
Kentucky,Mccreary,1
Kentucky,Meade,2
Kentucky,Mercer,8
Kentucky,Metcalfe,6
Kentucky,Monroe,2
Kentucky,Montgomery,3
Kentucky,Morgan,3
Kentucky,Muhlenberg,16
Kentucky,Nelson,29
Kentucky,Nicholas,2
Kentucky,Ohio,16
Kentucky,Oldham,12
Kentucky,Owen,1
Kentucky,Owsley,4
Kentucky,Pendleton,1
Kentucky,Perry,13
Kentucky,Pike,24
Kentucky,Powell,6
Kentucky,Pulaski,39
Kentucky,Robertson,2
Kentucky,Rockcastle,9
Kentucky,Rowan,9
Kentucky,Russell,6
Kentucky,Scott,30
Kentucky,Shelby,12
Kentucky,Simpson,11
Kentucky,Spencer,8
Kentucky,Stone,1
Kentucky,Taylor,18
Kentucky,Todd,7
Kentucky,Trigg,12
Kentucky,Trimble,2
Kentucky,Union,9
Kentucky,Walker,2
Kentucky,Warren,88
Kentucky,Washington,7
Kentucky,Wayne,9
Kentucky,Webster,5
Kentucky,Whitley,33
Kentucky,Wolfe,10
Kentucky,Woodford,8
Louisiana,Acadia,68
Louisiana,Allen,5
Louisiana,Ascension,56
Louisiana,Assumption,29
Louisiana,Avoyelles,8
Louisiana,Beauregard,6
Louisiana,Bienville,5
Louisiana,Bossier,101
Louisiana,Bossier Parish,2
Louisiana,Caddo,861
Louisiana,Caddo Parish,1
Louisiana,Calcasieu,144
Louisiana,Caldwell,3
Louisiana,Cameron Parish,1
Louisiana,Catahoula,3
Louisiana,Claiborne,3
