,date,state,my_citi,n_killed,n_injured,n_total,city_ascii,state_name,state_id,county_name
5512,5/3/2017,Virginia,Henrico,0,0,0,,,,
5525,5/5/2017,Louisiana,La Place,0,1,1,,,,
5528,5/6/2017,Michigan,Macomb,1,0,1,,,,
5545,5/9/2017,Arkansas,Hot Springs National Park,0,2,2,,,,
5572,5/14/2017,Florida,Land O Lakes,0,1,1,,,,
5578,5/15/2017,Texas,Ledbetter,1,0,1,,,,
5591,5/17/2017,Florida,Hallandale,1,0,1,,,,
5599,5/17/2017,Illinois,Dundee,0,1,1,,,,
5604,5/18/2017,Arkansas,Hot Springs National Park,1,0,1,,,,
5652,5/25/2017,North Carolina,Winston Salem,1,0,1,,,,
5670,5/27/2017,Illinois,Mchenry,1,0,1,,,,
5685,5/29/2017,Arkansas,Hot Springs National Park,0,1,1,,,,
5689,5/30/2017,North Carolina,Winston Salem,1,0,1,,,,
5693,5/30/2017,Maryland,Linthicum Heights,0,0,0,,,,
5704,5/31/2017,North Carolina,Winston Salem,0,1,1,,,,
5712,6/1/2017,Idaho,Coeur D Alene,2,0,2,,,,
5731,6/4/2017,Mississippi,Mc Cool,1,1,2,,,,
5741,6/5/2017,North Carolina,Winston Salem,1,1,2,,,,
5772,6/9/2017,New York,Corona,1,1,2,,,,
5775,6/10/2017,California,Mc Farland,0,2,2,,,,
5779,6/11/2017,New York,Corona,0,1,1,,,,
5818,6/16/2017,North Carolina,Arden,0,0,0,,,,
5847,6/21/2017,Maryland,Brooklyn,0,0,0,,,,
5862,6/23/2017,Maine,Tenants Harbor,0,1,1,,,,
5885,6/25/2017,North Carolina,Winston Salem,0,1,1,,,,
5887,6/26/2017,Missouri,O Fallon,0,0,0,,,,
5893,6/27/2017,Arkansas,Hot Springs National Park,0,0,0,,,,
5894,6/27/2017,Kentucky,Mc Carr,0,1,1,,,,
5917,7/1/2017,North Carolina,Winston Salem,0,4,4,,,,
5932,7/4/2017,North Carolina,Winston Salem,0,1,1,,,,
5951,7/7/2017,California,Mc Farland,0,0,0,,,,
5961,7/8/2017,North Carolina,Winston Salem,1,0,1,,,,
5962,7/8/2017,Arkansas,Hot Springs National Park,0,1,1,,,,
5978,7/11/2017,North Carolina,Winston Salem,0,1,1,,,,
5981,7/11/2017,New York,Corona,0,0,0,,,,
5991,7/12/2017,California,Pacoima,1,1,2,,,,
5999,7/13/2017,North Carolina,Winston Salem,0,0,0,,,,
6003,7/14/2017,Virginia,Mc Lean,2,0,2,,,,
6006,7/14/2017,California,Mc Farland,1,0,1,,,,
6007,7/14/2017,New York,Corona,1,1,2,,,,
6020,7/16/2017,Arkansas,Hot Springs National Park,1,0,1,,,,
6032,7/17/2017,New York,Corona,0,0,0,,,,
6035,7/18/2017,New York,Corona,0,0,0,,,,
6041,7/19/2017,Maine,Cherryfield,1,0,1,,,,
6056,7/24/2017,Connecticut,Vernon Rockville,0,0,0,,,,
6058,7/24/2017,Pennsylvania,Aston,0,0,0,,,,
6060,7/25/2017,North Carolina,Winston Salem,1,0,1,,,,
6061,7/25/2017,New York,Corona,1,0,1,,,,
6070,7/26/2017,Maryland,Riverdale,1,0,1,,,,
6073,7/26/2017,Vermont,Guildhall,2,0,2,,,,
6086,7/28/2017,Arkansas,Hot Springs National Park,0,2,2,,,,
6097,7/29/2017,Pennsylvania,Mc Kees Rocks,1,0,1,,,,
6104,7/30/2017,New York,Corona,0,1,1,,,,
6112,8/1/2017,Indiana,La Porte,0,1,1,,,,
6133,8/4/2017,Pennsylvania,Mc Kees Rocks,1,0,1,,,,
6137,8/4/2017,Pennsylvania,Mc Kees Rocks,0,0,0,,,,
6144,8/6/2017,North Carolina,Winston Salem,1,0,1,,,,
6145,8/6/2017,New York,Corona,0,0,0,,,,
6160,8/9/2017,New York,Corona,0,0,0,,,,
6161,8/9/2017,California,Edwards,0,1,1,,,,
6174,8/11/2017,Arkansas,Hot Springs National Park,0,1,1,,,,
6179,8/11/2017,North Carolina,Winston Salem,0,1,1,,,,
6197,8/13/2017,New York,Corona,0,0,0,,,,
6200,8/13/2017,New York,Corona,0,0,0,,,,
6201,8/13/2017,New York,Corona,1,0,1,,,,
6214,8/15/2017,New York,Corona,1,0,1,,,,
6216,8/17/2017,North Carolina,Winston Salem,1,0,1,,,,
6217,8/17/2017,Pennsylvania,Mc Kees Rocks,0,2,2,,,,
6220,8/17/2017,Kentucky,Ft Mitchell,0,0,0,,,,
6226,8/18/2017,New York,Corona,1,0,1,,,,
6230,8/19/2017,Arkansas,Hot Springs National Park,0,1,1,,,,
6236,8/20/2017,New York,Corona,0,1,1,,,,
6237,8/20/2017,New York,Corona,0,1,1,,,,
6247,8/21/2017,South Carolina,Mc Coll,1,0,1,,,,
6249,8/22/2017,North Carolina,Winston Salem,1,0,1,,,,
6252,8/22/2017,Arkansas,Hot Springs National Park,1,0,1,,,,
6253,8/22/2017,New York,Corona,0,1,1,,,,
6264,8/23/2017,New York,Corona,0,0,0,,,,
6265,8/23/2017,North Carolina,Winston Salem,0,1,1,,,,
6267,8/24/2017,New York,Corona,0,1,1,,,,
6271,8/24/2017,Maryland,Sparks Glencoe,0,0,0,,,,
6283,8/26/2017,Indiana,Nineveh,2,0,2,,,,
6288,8/27/2017,Virginia,Henrico,2,1,3,,,,
6290,8/27/2017,Maine,North Anson,0,0,0,,,,
6310,8/30/2017,Ohio,Brookpark,0,0,0,,,,
6311,8/30/2017,New York,Corona,0,1,1,,,,
6313,8/30/2017,New York,Corona,0,0,0,,,,
6324,8/31/2017,Illinois,O Fallon,0,0,0,,,,
6342,9/3/2017,New York,Corona,0,0,0,,,,
6344,9/3/2017,New York,Corona,0,1,1,,,,
6347,9/4/2017,North Carolina,Winston Salem,0,1,1,,,,
6350,9/4/2017,New York,Corona,0,1,1,,,,
6359,9/5/2017,Pennsylvania,Mc Kees Rocks,0,1,1,,,,
6369,9/7/2017,Ohio,Brookpark,0,0,0,,,,
6377,9/8/2017,North Carolina,Winston Salem,0,1,1,,,,
6383,9/9/2017,North Carolina,Winston Salem,0,1,1,,,,
6389,9/10/2017,North Carolina,Winston Salem,0,1,1,,,,
6392,9/11/2017,Arkansas,Hot Springs National Park,0,0,0,,,,
6403,9/12/2017,Arkansas,Hot Springs National Park,0,0,0,,,,
6405,9/12/2017,Maine,Kents Hill,0,0,0,,,,
6414,9/13/2017,Arkansas,Hot Springs National Park,0,0,0,,,,
6419,9/14/2017,Arkansas,Hot Springs National Park,0,0,0,,,,
6424,9/15/2017,Illinois,Dundee,0,0,0,,,,
6425,9/15/2017,Arkansas,Hot Springs National Park,0,0,0,,,,
6426,9/15/2017,Florida,Hallandale,1,0,1,,,,
6427,9/16/2017,Indiana,Mc Cordsville,0,1,1,,,,
6435,9/17/2017,Pennsylvania,Mc Clellandtown,0,1,1,,,,
6438,9/17/2017,New York,Corona,1,0,1,,,,
6448,9/18/2017,Ohio,Brookpark,0,0,0,,,,
6452,9/19/2017,Virginia,Henrico,0,1,1,,,,
6468,9/20/2017,New York,Corona,0,0,0,,,,
6476,9/22/2017,North Carolina,Winston Salem,0,1,1,,,,
6488,9/23/2017,California,Mc Farland,0,0,0,,,,
6493,9/24/2017,North Carolina,Winston Salem,0,1,1,,,,
6499,9/24/2017,North Carolina,Winston Salem,0,2,2,,,,
6501,9/25/2017,Maryland,Brooklyn,0,0,0,,,,
6504,9/25/2017,North Carolina,Winston Salem,0,1,1,,,,
6506,9/25/2017,North Carolina,Winston Salem,0,1,1,,,,
6509,9/25/2017,North Carolina,Winston Salem,0,1,1,,,,
6510,9/25/2017,North Carolina,Winston Salem,0,0,0,,,,
6513,9/26/2017,New York,Brant Lake,0,0,0,,,,
6521,9/27/2017,New York,Corona,0,0,0,,,,
6537,9/30/2017,Maryland,Gwynn Oak,0,1,1,,,,
6541,10/1/2017,Maryland,Brooklyn,0,0,0,,,,
6542,10/1/2017,New York,Corona,0,2,2,,,,
6547,10/2/2017,Indiana,La Porte,0,0,0,,,,
6554,10/3/2017,Idaho,Coeur D Alene,0,0,0,,,,
6558,10/4/2017,Virginia,Henrico,1,0,1,,,,
6559,10/4/2017,Maryland,Brooklyn,2,0,2,,,,
6560,10/5/2017,Missouri,O Fallon,0,0,0,,,,
6561,10/5/2017,Maryland,Gwynn Oak,1,0,1,,,,
6562,10/5/2017,Arkansas,Hot Springs National Park,0,1,1,,,,
6571,10/6/2017,Pennsylvania,Pequea,0,0,0,,,,
6579,10/8/2017,Arkansas,Hot Springs National Park,0,1,1,,,,
6583,10/8/2017,Louisiana,La Place,1,0,1,,,,
6594,10/10/2017,New York,Corona,1,0,1,,,,
6596,10/10/2017,Connecticut,Vernon Rockville,0,0,0,,,,
6598,10/10/2017,North Carolina,Winston Salem,0,0,0,,,,
6607,10/12/2017,New York,Corona,0,0,0,,,,
6611,10/12/2017,New York,Corona,1,0,1,,,,
6613,10/13/2017,New York,Corona,0,0,0,,,,
6615,10/13/2017,New York,Corona,0,1,1,,,,
6619,10/14/2017,North Carolina,Winston Salem,1,0,1,,,,
6624,10/15/2017,New York,Corona,0,1,1,,,,
6641,10/18/2017,North Carolina,Winston Salem,1,0,1,,,,
6654,10/20/2017,Pennsylvania,Peach Bottom,0,1,1,,,,
6656,10/20/2017,North Carolina,Winston Salem,0,0,0,,,,
6667,10/21/2017,Ohio,Brookpark,0,0,0,,,,
6669,10/22/2017,Michigan,Jeddo,0,0,0,,,,
6678,10/23/2017,New York,Corona,0,1,1,,,,
6680,10/23/2017,Arkansas,Hot Springs National Park,1,0,1,,,,
6684,10/23/2017,New York,Corona,1,1,2,,,,
6686,10/24/2017,Ohio,Brookpark,0,0,0,,,,
6687,10/24/2017,Arkansas,Hot Springs National Park,0,0,0,,,,
6701,10/26/2017,North Carolina,Winston Salem,0,1,1,,,,
6705,10/27/2017,North Carolina,Winston Salem,0,1,1,,,,
6708,10/27/2017,New York,Corona,0,1,1,,,,
6720,10/29/2017,California,Pacoima,1,0,1,,,,
6723,10/29/2017,North Carolina,Winston Salem,0,2,2,,,,
6726,10/30/2017,North Carolina,Winston Salem,1,0,1,,,,
6728,10/30/2017,North Carolina,Winston Salem,0,1,1,,,,
6731,10/31/2017,Ohio,Brookpark,0,0,0,,,,
6732,10/31/2017,New York,Corona,0,1,1,,,,
6743,11/1/2017,Florida,Land O Lakes,0,1,1,,,,
6744,11/1/2017,New Jersey,Neptune,0,0,0,,,,
6753,11/4/2017,South Carolina,Mc Clellanville,0,1,1,,,,
6754,11/4/2017,New York,Corona,1,0,1,,,,
6762,11/5/2017,Florida,Long Key,0,0,0,,,,
6772,11/6/2017,Louisiana,La Place,0,1,1,,,,
6781,11/8/2017,New York,La Fayette,0,0,0,,,,
6784,11/9/2017,Arkansas,Hot Springs National Park,0,1,1,,,,
6793,11/10/2017,North Carolina,Winston Salem,0,0,0,,,,
6804,11/11/2017,North Carolina,Winston Salem,0,1,1,,,,
6809,11/13/2017,New Jersey,Lawrence Township,1,0,1,,,,
6812,11/13/2017,North Carolina,Winston Salem,1,1,2,,,,
6827,11/15/2017,North Carolina,Winston Salem,0,1,1,,,,
6836,11/17/2017,New York,Corona,0,1,1,,,,
6837,11/17/2017,New York,Corona,0,0,0,,,,
6849,11/18/2017,New York,Corona,1,0,1,,,,
6856,11/19/2017,New York,Corona,0,1,1,,,,
6858,11/19/2017,New York,Lagrangeville,0,0,0,,,,
6859,11/19/2017,North Carolina,Winston Salem,0,0,0,,,,
6868,11/21/2017,Louisiana,La Place,0,0,0,,,,
6874,11/21/2017,Pennsylvania,Mc Kees Rocks,0,1,1,,,,
6877,11/22/2017,Connecticut,Vernon Rockville,0,0,0,,,,
6879,11/23/2017,California,Pacoima,1,0,1,,,,
6903,11/26/2017,North Carolina,Winston Salem,0,1,1,,,,
6916,11/27/2017,North Carolina,Winston Salem,0,1,1,,,,
6924,11/29/2017,North Carolina,Winston Salem,0,0,0,,,,
6937,12/1/2017,North Carolina,Winston Salem,0,1,1,,,,
6944,12/2/2017,New York,Corona,1,0,1,,,,
6946,12/2/2017,Connecticut,Vernon Rockville,0,1,1,,,,
6961,12/5/2017,Arkansas,Hot Springs National Park,3,0,3,,,,
6969,12/6/2017,North Carolina,Winston Salem,0,0,0,,,,
6980,12/8/2017,North Carolina,Winston Salem,0,0,0,,,,
6983,12/9/2017,North Carolina,Winston Salem,0,0,0,,,,
6989,12/10/2017,Pennsylvania,Mc Sherrystown,0,1,1,,,,
6996,12/10/2017,New York,Corona,0,1,1,,,,
7003,12/11/2017,California,Jolon,0,1,1,,,,
7005,12/12/2017,New York,Eagle Bridge,0,0,0,,,,
7006,12/12/2017,Massachusetts,Lanesboro,1,0,1,,,,
7007,12/12/2017,Massachusetts,Granville,0,1,1,,,,
7008,12/12/2017,New York,Delmar,0,0,0,,,,
7014,12/12/2017,South Carolina,Mc Bee,0,0,0,,,,
7025,12/13/2017,New York,Corona,0,1,1,,,,
7035,12/15/2017,North Carolina,Winston Salem,1,0,1,,,,
7037,12/15/2017,North Carolina,Winston Salem,0,0,0,,,,
7038,12/15/2017,Idaho,Coeur D Alene,0,0,0,,,,
7042,12/16/2017,North Carolina,Winston Salem,1,0,1,,,,
7043,12/16/2017,Mississippi,Mc Cool,0,4,4,,,,
7048,12/16/2017,New York,Corona,1,0,1,,,,
7065,12/19/2017,New York,Corona,1,0,1,,,,
7067,12/20/2017,Massachusetts,Lanesboro,0,0,0,,,,
7070,12/21/2017,New York,Corona,0,1,1,,,,
7086,12/24/2017,Arkansas,Hot Springs National Park,0,0,0,,,,
7112,1/1/2018,New York,Corona,0,1,1,,,,
7121,1/3/2018,New York,Corona,0,0,0,,,,
7127,1/4/2018,North Carolina,Winston Salem,0,1,1,,,,
7135,1/6/2018,California,Sylmar,1,0,1,,,,
7138,1/7/2018,Kentucky,De Mossville,1,0,1,,,,
7158,1/10/2018,New York,Corona,0,0,0,,,,
7162,1/11/2018,Louisiana,La Place,0,1,1,,,,
7163,1/11/2018,North Carolina,Winston Salem,0,1,1,,,,
7168,1/11/2018,North Carolina,Winston Salem,0,1,1,,,,
7176,1/12/2018,North Carolina,Winston Salem,0,1,1,,,,
7193,1/15/2018,North Carolina,Winston Salem,0,0,0,,,,
7194,1/15/2018,Louisiana,La Place,1,0,1,,,,
7199,1/15/2018,North Carolina,Winston Salem,0,1,1,,,,
7200,1/16/2018,Michigan,Davisburg,0,0,0,,,,
7201,1/16/2018,New York,Corona,1,0,1,,,,
7204,1/17/2018,Arkansas,Hot Springs National Park,0,0,0,,,,
7212,1/18/2018,Idaho,Coeur D Alene,0,0,0,,,,
7214,1/18/2018,New York,Corona,1,0,1,,,,
7230,1/20/2018,North Carolina,Winston Salem,1,0,1,,,,
7233,1/20/2018,North Carolina,Winston Salem,1,0,1,,,,
7240,1/21/2018,Arkansas,Hot Springs National Park,0,0,0,,,,
7244,1/22/2018,Louisiana,La Place,0,0,0,,,,
7252,1/23/2018,North Carolina,Winston Salem,0,1,1,,,,
7275,1/26/2018,New York,Corona,0,1,1,,,,
7283,1/28/2018,Pennsylvania,Mc Kees Rocks,1,0,1,,,,
7285,1/28/2018,New York,Corona,1,2,3,,,,
7292,1/30/2018,New York,Corona,0,1,1,,,,
7293,1/30/2018,Arkansas,Hot Springs National Park,0,1,1,,,,
7296,1/31/2018,Nevada,Mc Dermitt,2,0,2,,,,
7310,2/2/2018,Pennsylvania,Mc Kees Rocks,1,0,1,,,,
7311,2/2/2018,New York,Corona,1,0,1,,,,
7316,2/3/2018,New York,Corona,0,0,0,,,,
7322,2/4/2018,Massachusetts,Foxboro,0,0,0,,,,
7338,2/7/2018,North Carolina,Winston Salem,0,1,1,,,,
7347,2/8/2018,New York,Corona,1,0,1,,,,
7359,2/11/2018,Pennsylvania,Wilkes Barre,0,1,1,,,,
7367,2/13/2018,North Carolina,Winston Salem,0,1,1,,,,
7368,2/13/2018,North Carolina,Winston Salem,1,0,1,,,,
7373,2/13/2018,Tennessee,La Follette,0,1,1,,,,
7380,2/14/2018,Maryland,Fort George G Meade,0,0,0,,,,
7385,2/15/2018,North Carolina,Winston Salem,0,0,0,,,,
7388,2/15/2018,Arkansas,Mc Gehee,0,0,0,,,,
7392,2/16/2018,Pennsylvania,Mc Kees Rocks,1,0,1,,,,
7423,2/22/2018,North Carolina,Winston Salem,0,0,0,,,,
7429,2/24/2018,North Carolina,Winston Salem,0,0,0,,,,
7435,2/24/2018,North Carolina,Winston Salem,0,1,1,,,,
7436,2/24/2018,New York,Corona,0,2,2,,,,
7440,2/26/2018,Arkansas,Hot Springs National Park,0,0,0,,,,
7445,2/27/2018,Idaho,Coeur D Alene,1,1,2,,,,
7463,3/4/2018,New York,Corona,0,0,0,,,,
7478,3/7/2018,Arkansas,Hot Springs National Park,0,0,0,,,,
7480,3/7/2018,North Carolina,Winston Salem,0,0,0,,,,
7481,3/7/2018,Arkansas,Hot Springs National Park,1,0,1,,,,
7486,3/8/2018,North Carolina,Winston Salem,1,0,1,,,,
7498,3/10/2018,California,North Hollywood,2,0,2,,,,
7502,3/11/2018,New York,Corona,1,0,1,,,,
7506,3/12/2018,New York,Corona,0,3,3,,,,
7514,3/15/2018,New York,Corona,0,0,0,,,,
7515,3/16/2018,Pennsylvania,Mc Kees Rocks,1,0,1,,,,
7525,3/17/2018,North Carolina,Winston Salem,0,0,0,,,,
7530,3/18/2018,Arkansas,Hot Springs National Park,0,1,1,,,,
7544,3/21/2018,Idaho,Coeur D Alene,1,0,1,,,,
7545,3/21/2018,Arkansas,Hot Springs National Park,0,1,1,,,,
7547,3/21/2018,California,El Dorado,0,1,1,,,,
7549,3/22/2018,Arkansas,Hot Springs National Park,0,0,0,,,,
7551,3/22/2018,New York,Corona,0,2,2,,,,
7552,3/22/2018,New York,Corona,0,0,0,,,,
7553,3/22/2018,New York,Corona,1,0,1,,,,
7556,3/22/2018,Arkansas,Hot Springs National Park,1,0,1,,,,
7557,3/23/2018,Tennessee,Mc Ewen,0,1,1,,,,
7558,3/23/2018,Virginia,Henrico,0,0,0,,,,
7566,3/24/2018,New York,Corona,1,0,1,,,,
7569,3/24/2018,Arkansas,Hot Springs National Park,0,0,0,,,,
7571,3/24/2018,Michigan,Macomb,0,1,1,,,,
7575,3/25/2018,New York,Corona,0,0,0,,,,
7584,3/27/2018,New York,Corona,0,0,0,,,,
7597,3/30/2018,North Carolina,Winston Salem,1,0,1,,,,
7599,3/30/2018,New York,Corona,0,1,1,,,,
7600,3/30/2018,Arkansas,Hot Springs National Park,0,0,0,,,,
7603,3/31/2018,Maryland,#VALUE!,0,0,0,,,,
7604,3/31/2018,New York,#VALUE!,0,1,1,,,,
7605,3/31/2018,Washington,#VALUE!,0,0,0,,,,
